,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,134.46,136.5,137.75,137.84,138.36,137.73,137.0,137.68,134.7,130.27,133.15,134.36,132.15,134.33,136.0,128.28,135.08,140.82,137.06,143.64,141.68,147.39,148.91,155.62,153.0,153.3,148.94,147.3,146.15,146.1,148.05,148.82,151.45,150.0,150.51,147.73,142.92,141.13,140.98,139.11,138.23,140.76,134.99,129.87,126.36,129.39,130.96,126.74,134.0,133.31,130.3,126.36,130.79,133.08,135.54,133.82,133.88,133.32,134.3,131.14,132.98,137.37,140.61,147.81,150.5,148.68,145.86,149.45,148.75,148.0,155.0,157.0,151.18,152.4,158.53,156.01,156.14,156.0,154.66,159.1,159.6,153.38,153.17,150.0,145.0,142.59,137.92,142.25,146.44,152.41,149.49,147.49,147.73,145.09,147.3,146.17,153.02,152.25,147.94,144.33
2. high,135.63,136.54,139.52,138.8,139.44,138.33,138.48,137.97,137.32,133.49,135.95,134.88,135.77,134.78,137.14,139.11,135.69,141.63,138.49,143.64,143.16,147.55,154.01,155.62,155.61,153.7,153.53,148.38,149.21,148.64,149.05,151.43,151.97,151.642,152.52,150.7,146.57,144.92,144.44,140.075,142.37,142.07,140.34,134.15,128.29,129.925,132.51,131.66,134.72,136.22,135.21,132.095,130.83,135.23,137.35,135.71,135.845,137.78,135.99,132.9,136.65,137.98,143.37,148.26,151.32,150.99,148.69,151.46,151.39,151.54,156.99,159.8,157.55,154.26,158.69,158.04,158.31,157.43,156.97,163.64,166.6,156.5,153.45,154.35,149.24,146.13,145.62,143.39,147.41,152.83,152.45,148.03,149.53,146.76,148.16,148.8287,154.21,154.24,153.06,149.7599
3. low,133.5,133.82,136.41,134.6,136.055,136.44,135.66,135.04,134.12,130.01,132.26,129.81,131.44,129.26,132.34,127.07,131.84,135.62,134.7,137.06,137.8101,141.78,145.62,146.28,151.915,150.12,147.31,146.44,145.125,144.88,145.03,147.33,149.0,148.91,148.28,147.3301,142.53,139.25,140.0,137.4,137.285,137.755,134.82,128.55,125.19,125.1775,127.35,124.51,128.32,132.92,130.08,124.698,125.0701,129.27,133.32,131.93,132.67,132.7,128.921,129.22,126.1901,126.0,132.97,141.83,147.73,146.78,141.13,143.44,146.6,142.53,151.77,156.89,149.41,151.01,152.69,154.235,154.49,152.76,154.0124,154.76,157.1,151.32,150.07,149.6,144.67,140.2991,137.51,135.19,144.26,143.86,148.44,144.18,146.0,143.51,141.72,145.36,146.07,151.03,146.04,144.33
4. close,134.41,134.62,136.66,137.05,136.45,137.07,136.92,135.36,136.23,133.35,133.81,132.25,135.04,130.67,132.79,138.39,131.93,135.67,137.56,138.39,142.0,144.09,146.15,149.53,155.35,153.4,153.52,147.52,145.49,144.99,146.07,147.96,150.33,151.14,148.82,149.78,146.36,144.34,142.04,137.62,139.33,139.42,139.8,132.62,127.64,127.41,130.64,130.73,129.01,133.86,132.99,129.48,125.49,133.32,135.18,133.85,134.87,136.28,129.3,131.07,126.46,133.08,136.13,142.5,148.77,150.54,146.14,143.99,150.16,149.56,152.54,157.69,156.42,153.43,153.68,157.2,155.15,154.49,155.05,155.97,158.0,155.55,151.93,153.15,147.73,144.24,144.07,135.69,145.36,147.12,150.81,147.55,146.85,145.73,143.34,146.23,147.11,152.66,152.26,149.37
5. adjusted close,134.41,134.62,136.66,137.05,136.45,137.07,136.92,135.36,136.23,133.35,133.81,132.25,135.04,130.67,132.79,138.39,131.93,135.67,137.56,138.39,142.0,144.09,146.15,149.53,155.35,153.4,153.52,147.52,145.49,144.99,146.07,147.96,150.33,151.14,148.82,149.78,146.36,144.34,142.04,137.62,139.33,139.42,139.8,132.62,127.64,127.41,130.64,130.73,129.01,133.86,132.99,129.48,125.49,133.32,135.18,133.85,134.87,136.28,129.3,131.07,126.46,133.08,136.13,142.5,148.77,150.54,146.14,143.99,150.16,149.56,152.54,157.69,156.42,153.43,153.68,157.2,155.15,154.49,155.05,155.97,158.0,155.55,151.93,153.15,147.73,144.24,144.07,135.69,145.36,147.12,150.81,147.55,146.85,145.73,143.34,146.23,147.11,152.66,152.26,149.37
6. volume,794978,657898,599535,1595484,939714,473158,355407,560818,664707,500455,763711,1207844,651020,788472,1085679,1741159,896336,1592821,1346017,766100,1534519,1165416,2576313,1849386,1164136,866101,1519596,1206892,1414295,870720,703748,622465,529698,886055,485295,687800,668864,542270,941436,686109,849253,551467,2014331,1139189,783258,969572,597737,1067512,1020157,926436,1038395,2672190,1552159,1005609,788173,1106217,925901,1305888,991007,977204,1459737,1555905,1548811,1106561,1101335,836643,1305247,1265364,1084344,1268633,945501,901862,801249,1281606,1402636,1183762,831736,1173867,1325560,1858715,3197762,1926180,1209091,1249334,955022,1705469,1839584,1760664,1102709,1359885,1200579,971153,1110482,1129996,1417950,2000101,2498848,2162464,1863194,1853569
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
