,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,40.29,40.65,41.52,40.34,39.07,37.52,36.62,37.05,36.06,34.07,34.67,34.38,34.32,34.99,35.31,33.75,36.77,38.9,38.33,40.23,39.46,42.44,42.46,45.01,44.31,45.1,42.5,41.46,40.84,38.98,40.61,41.43,43.51,42.85,43.42,42.21,41.55,42.46,42.63,42.45,41.23,41.63,41.9,38.88,36.53,39.5,39.13,37.36,41.87,42.01,41.57,38.04,37.5,39.45,42.99,42.85,40.73,39.93,38.72,36.0,37.47,38.36,41.26,46.45,47.52,45.61,44.54,47.44,47.86,45.33,51.0,52.18,52.5,54.28,57.55,55.68,56.59,56.01,56.51,56.36,54.58,53.76,54.0,51.81,49.6,48.54,47.98,47.0,47.94,49.99,47.91,49.91,49.71,46.0,47.18,45.74,45.2,43.74,43.4,42.47
2. high,42.29,41.29,42.37,41.75,41.0488,39.0593,37.53,37.35,37.39,35.89,36.6,34.56,35.82,36.58,35.85,36.88,37.03,40.39,38.69,40.365,39.555,42.44,43.81,45.05,44.95,45.64,45.55,42.36,42.26,40.68,41.54,42.839,43.51,44.1,44.97,43.43,42.24,42.55,43.42,42.76,42.95,42.42,42.5,41.31,38.53,39.5099,40.32,39.57,42.0,42.675,42.89,41.59,39.31,41.89,43.77,43.17,42.41,41.94,39.45,38.02,38.34,38.36,42.29,47.08,47.99,47.75,46.47,48.74,47.95,48.07,52.08,53.92,52.715,55.38,58.36,56.64,57.36,57.11,57.56,57.32,55.29,54.7,54.57,53.83,51.07,51.08,49.28,50.7199,48.66,50.1,48.99,50.12,50.26,49.66,48.55,47.4316,46.26,45.15,44.61,45.25
3. low,39.86,38.67,40.47,39.34,38.89,37.26,36.1698,36.1,35.775,33.57,33.93,32.91,33.7003,33.16,33.695,33.15,35.18,37.39,36.07,38.44,37.8,39.84,42.13,42.0906,43.51,43.4,42.5,41.18,40.41,38.56,38.93,40.01,41.32,41.91,41.62,41.99,40.88,40.74,41.93,41.5817,40.85,40.65,40.7,38.8,35.31,36.13,37.08,36.72,38.3,40.9121,40.88,37.68,36.75,38.52,40.13,41.77,39.85,39.28,36.88,36.0,33.68,33.67,36.39,41.19,46.2101,45.38,43.13,43.06,45.27,41.8652,47.9,51.62,51.01,52.4,55.3,54.87,55.405,54.22,55.4,55.69,54.05,53.38,52.25,51.24,49.21,47.3338,47.551,45.2,47.71,47.33,47.76,47.69,48.63,46.0,45.47,45.56,44.98,43.62,42.87,42.45
4. close,42.04,40.36,40.65,41.14,40.84,38.64,37.04,36.35,36.4,35.53,35.53,34.34,34.87,33.7,34.3,36.3,35.62,37.54,37.49,39.01,39.37,40.31,42.46,43.02,44.53,44.84,45.05,42.28,41.07,40.6,39.42,40.71,42.28,43.54,42.0,43.12,41.78,42.05,42.71,42.21,42.22,41.55,41.17,40.23,37.74,37.13,38.47,39.23,38.54,41.65,42.19,41.18,37.56,40.85,40.97,42.3,42.24,41.66,37.83,37.37,34.08,37.6,38.15,41.83,46.63,47.1,44.74,44.2,47.8,47.91,48.5,52.03,51.62,53.63,55.39,56.58,56.14,55.34,55.43,56.09,54.99,54.04,53.18,53.08,50.62,48.73,48.73,48.33,47.89,48.05,48.87,48.37,49.43,48.2,45.56,47.02,45.39,44.9,43.92,44.52
5. adjusted close,42.04,40.36,40.65,41.14,40.84,38.64,37.04,36.35,36.4,35.53,35.53,34.34,34.87,33.7,34.3,36.3,35.62,37.54,37.49,39.01,39.37,40.31,42.46,43.02,44.53,44.84,45.05,42.28,41.07,40.6,39.42,40.71,42.28,43.54,42.0,43.12,41.78,42.05,42.71,42.21,42.22,41.55,41.17,40.23,37.74,37.13,38.47,39.23,38.54,41.65,42.19,41.18,37.56,40.85,40.97,42.3,42.24,41.66,37.83,37.37,34.08,37.6,38.15,41.83,46.63,47.1,44.74,44.2,47.8,47.91,48.5,52.03,51.62,53.63,55.39,56.58,56.14,55.34,55.43,56.09,54.99,54.04,53.18,53.08,50.62,48.73,48.73,48.33,47.89,48.05,48.87,48.37,49.43,48.2,45.56,47.02,45.39,44.9,43.92,44.52
6. volume,1053437,1094060,896521,1968463,1459232,1519462,907948,833764,1309798,1063901,1255799,1086727,1999838,1370083,1470469,1534516,1276508,1124249,1761877,587307,1222983,943638,1789918,1117424,992798,1105516,1248388,574756,805721,742985,952809,951327,833967,1152382,1313607,1421714,791920,1048712,831166,947807,1819439,1033306,1450453,1747094,1542991,1980067,1499472,1388249,1134348,1096996,1509126,2420446,3927898,1908644,1466221,983097,1735546,2300300,2049677,2114731,2394474,2968221,2640593,2059710,1144078,1161479,1364709,1766919,1352714,2242395,1212060,1794348,1660789,1202872,974785,945074,769221,1199499,835232,1130714,664989,870946,849592,1560100,1026439,1882463,1195396,1886852,773553,882034,597942,862926,1447279,1956409,1312438,1034696,648529,767834,1586690,2010683
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
