,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,9.55,9.77,9.43,9.5,9.57,9.64,10.2,10.13,10.41,10.55,10.77,10.73,11.03,10.03,10.2499,10.05,10.43,11.5,12.34,10.76,9.95,10.37,11.12,11.3,11.11,11.1,11.22,11.19,11.32,11.21,11.4,11.3607,11.55,11.85,11.76,12.05,12.16,13.06,12.95,13.0,13.11,12.9,12.29,12.02,12.02,12.04,12.19,12.01,12.87,12.55,12.525,12.7,13.15,12.59,13.0,12.5,12.4,13.0,12.57,11.9027,11.94,11.52,11.535,12.08,12.04,13.0,12.27,12.46,12.38,13.14,12.8398,12.55,12.54,12.5456,13.17,13.09,13.31,13.01,13.08,12.78,12.89,12.32,12.5036,12.79,12.8,13.1,13.75,13.0,13.35,13.2,12.99,12.68,12.68,12.35,12.31,12.57,12.66,12.87,12.8101,12.79
2. high,9.83,9.77,9.7,9.79,9.7,9.87,10.3297,10.4,10.4169,10.87,10.99,10.89,11.03,10.27,10.2499,10.2277,10.43,11.5,12.34,11.72,10.85,10.42,11.12,11.3,11.29,11.2899,11.3644,11.41,11.41,11.34,11.7899,11.58,11.65,12.06,12.01,12.36,12.4228,13.9,13.3299,13.05,13.1954,13.1,12.78,12.45,12.35,12.22,12.35,12.3998,12.87,12.83,12.8799,12.8,13.15,12.59,13.05,12.5,12.545,13.0,12.9,12.6,12.2899,11.93,11.6485,12.4641,12.62,13.0,12.45,12.76,12.49,13.195,13.2967,13.02,12.75,13.1,13.29,13.29,13.31,13.255,13.08,13.23,12.89,12.645,12.58,12.79,12.8,13.5,14.1,14.35,13.71,14.0,14.0,12.9231,12.739,12.75,12.49,12.57,12.7,12.9,12.96,13.0
3. low,9.46,9.37,9.3766,9.47,9.5,9.56,9.66,9.34,10.11,10.45,10.52,10.4301,10.7,10.03,10.03,10.0,10.25,10.51,10.25,10.61,9.95,9.99,10.1,11.0,11.1,11.1,11.11,11.19,11.15,11.15,11.24,11.3,11.55,11.5,11.75,11.75,11.83,12.02,12.865,12.82,12.74,12.79,12.25,12.01,12.0,12.04,12.15,12.01,12.1,12.3879,12.4,12.19,12.29,12.2,12.7,12.13,12.245,12.011,12.36,11.7,11.8622,11.25,11.5,11.86,12.04,12.2,11.82,12.25,12.18,12.2019,12.8398,12.5033,12.43,12.5456,12.76,13.09,13.067,13.01,12.7602,12.75,12.67,12.32,12.22,12.22,12.2,12.5,13.3,12.97,13.35,13.17,12.99,12.5812,12.68,12.2078,12.1201,12.38,12.15,12.58,12.8101,12.79
4. close,9.46,9.6,9.68,9.49,9.5,9.66,9.72,9.5,10.15,10.64,10.83,10.87,10.73,10.06,10.11,10.03,10.25,10.51,10.65,11.72,10.53,10.01,10.26,11.09,11.1,11.11,11.11,11.32,11.15,11.34,11.24,11.58,11.61,11.65,11.9,11.75,12.09,12.02,13.05,12.94,12.95,12.98,12.71,12.18,12.0,12.17,12.27,12.2,12.25,12.7,12.81,12.39,12.48,12.4103,12.74,12.49,12.245,12.55,12.37,12.6,12.1,11.93,11.5,12.16,12.06,12.29,11.82,12.25,12.25,12.51,12.99,12.84,12.6,12.63,12.87,13.22,13.24,13.14,12.97,12.93,12.8,12.53,12.22,12.4,12.42,12.5,13.3,13.75,13.6,13.38,13.33,12.8,12.7,12.74,12.22,12.39,12.31,12.64,12.94,12.97
5. adjusted close,9.46,9.6,9.68,9.49,9.5,9.66,9.72,9.5,10.15,10.64,10.83,10.87,10.73,10.06,10.11,10.03,10.25,10.51,10.65,11.72,10.53,10.01,10.26,11.09,11.1,11.11,11.11,11.32,11.15,11.34,11.24,11.58,11.61,11.65,11.9,11.75,12.09,12.02,13.05,12.94,12.95,12.98,12.71,12.18,12.0,12.17,12.27,12.2,12.25,12.7,12.81,12.39,12.48,12.4103,12.74,12.49,12.245,12.55,12.37,12.6,12.1,11.93,11.5,12.16,12.06,12.29,11.82,12.25,12.25,12.51,12.99,12.84,12.6,12.63,12.87,13.22,13.24,13.14,12.97,12.93,12.8,12.53,12.22,12.4,12.42,12.5,13.3,13.75,13.6,13.38,13.33,12.8,12.7,12.74,12.22,12.39,12.31,12.64,12.94,12.97
6. volume,36768,12728,1776,11350,17918,10574,23642,16321,17781,1591,5978,7902,2940,3986,3862,5481,2659,14563,8125,17910,11561,39663,37175,14484,2151,22102,9452,2285,5546,17826,14647,40847,41508,31323,33940,125634,199672,186792,10618,12950,12546,31572,11178,60009,7702,3192,2129,4402,15300,4978,4659,14511,7650,2549,17601,7372,10178,59983,8504,4084,4141,23256,12293,5367,8270,14053,18232,18454,4516,7368,5830,13951,10915,15015,16368,6039,14726,14790,7889,20467,7028,10375,6767,12175,45524,90317,57616,107541,26492,20886,113443,206298,2745,14155,16074,9368,33825,32124,3994,8607
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
