,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09
1. open,9.9,9.37,9.65,10.59,9.41,9.41,9.17,9.65,10.01,9.32,9.67,9.21,8.75,9.15,9.6,8.79,9.64,10.26,10.0,10.07,10.1,10.09,10.39,11.3,11.05,11.99,11.47,11.5,11.15,10.15,10.44,11.08,11.39,11.7,11.66,11.2,12.11,12.69,12.3,12.52,12.16,13.05,13.94,13.52,11.61,12.0,14.38,15.0,19.64,19.55,22.06,20.09,19.08,18.82,18.16,17.24,16.45,17.2,18.87,18.1,19.0,18.6,19.29,19.91,21.85,20.25,21.11,24.99,24.11,25.76,32.0,30.7,29.1,29.4,30.99,32.27,32.93,45.41,27.0
2. high,10.14,10.187,9.75,10.59,10.48,9.6794,9.47,9.67,10.06,10.04,10.18,9.74,9.44,9.365,9.6823,9.93,9.84,10.34,10.455,10.45,10.1,10.38,10.5,11.36,11.3,12.1454,12.065,11.9,12.65,11.46,10.84,11.1,11.39,11.7,12.35,11.8,12.37,13.2899,13.5,12.88,12.71,13.14,14.19,14.26,14.39,13.08,15.1707,15.0,19.655,20.682,22.5,22.89,21.29,20.35,20.4415,17.93,17.6,17.68,18.99,18.75,19.7,20.0,19.89,20.77,22.29,22.97,21.43,25.0,27.1,25.76,32.0,33.8899,30.9,32.435,31.48,32.6018,35.5199,46.98,59.0
3. low,8.98,9.06,8.95,9.43,9.37,9.21,9.056,9.1,9.35,9.24,9.58,9.2,8.7,8.37,8.97,8.79,8.945,9.58,9.81,9.85,9.78,10.01,9.98,10.3,10.83,10.88,11.359,11.1595,11.1,9.95,9.91,10.06,10.92,10.79,11.3306,10.97,10.9,12.05,12.1899,12.11,11.82,11.42,12.61,13.06,11.57,11.51,10.6,13.77,15.01,19.28,19.7,20.09,19.04,18.54,18.11,16.8,16.28,16.68,16.1,17.75,16.7,16.6,17.25,19.2,19.03,19.8,18.76,21.0,24.1,21.21,28.88,30.7,29.1,29.1,29.3,29.05,32.02,30.5,26.11
4. close,9.0,9.94,9.15,9.51,10.46,9.41,9.35,9.14,9.4,10.0,9.86,9.51,9.3,8.54,8.97,9.89,9.59,9.63,10.35,10.06,9.89,10.2,10.03,10.56,11.16,10.96,11.99,11.27,11.23,11.16,10.19,10.28,11.01,11.26,11.55,11.71,11.04,12.11,13.37,12.15,12.69,12.31,12.9,13.73,13.76,11.61,11.75,14.42,15.08,19.65,19.81,22.74,20.53,19.93,20.14,17.9,16.87,16.76,16.18,18.11,17.39,19.75,17.77,19.92,19.12,22.29,18.87,21.03,26.24,24.54,28.9,33.4,30.34,29.37,29.65,31.29,32.08,31.0,48.0
5. adjusted close,9.0,9.94,9.15,9.51,10.46,9.41,9.35,9.14,9.4,10.0,9.86,9.51,9.3,8.54,8.97,9.89,9.59,9.63,10.35,10.06,9.89,10.2,10.03,10.56,11.16,10.96,11.99,11.27,11.23,11.16,10.19,10.28,11.01,11.26,11.55,11.71,11.04,12.11,13.37,12.15,12.69,12.31,12.9,13.73,13.76,11.61,11.75,14.42,15.08,19.65,19.81,22.74,20.53,19.93,20.14,17.9,16.87,16.76,16.18,18.11,17.39,19.75,17.77,19.92,19.12,22.29,18.87,21.03,26.24,24.54,28.9,33.4,30.34,29.37,29.65,31.29,32.08,31.0,48.0
6. volume,2031773,1560792,898387,1216270,1469887,555820,396508,274610,644047,518859,530109,309643,460424,833360,917137,879875,927301,1084995,595891,422265,1092560,349353,1065305,753924,586117,1105576,878819,397206,1185257,798763,653433,747563,595809,707893,987438,649981,1355387,1150028,1113492,817646,852591,1754950,1134745,1318955,3441207,2783752,6309618,2651384,2991458,1344304,1420512,2171277,2037044,1274697,3062730,1193850,1691616,2118088,2179266,839529,2285260,2254005,1867525,1177392,1425863,1698798,1771912,2877693,2188792,3905883,1987229,2220419,1886420,2937478,2141506,2075542,3481034,16621410,24928337
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
