,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,11.44,11.8,11.21,11.28,11.0,11.42,11.05,11.27,11.17,11.05,11.53,11.92,11.69,11.37,11.84,12.03,12.73,12.77,14.2,17.1,16.74,16.54,16.67,17.0,17.03,16.94,15.99,15.78,15.92,15.52,16.3,15.97,16.9,17.46,17.7,17.48,16.93,16.44,16.01,15.95,16.24,16.08,16.0,14.95,14.54,14.46,14.91,14.18,15.36,15.57,15.79,15.5,15.75,16.04,16.71,16.11,15.31,15.15,15.28,15.0,14.26,13.91,13.6,13.75,14.06,13.63,13.57,13.68,13.32,12.91,13.13,12.88,11.98,12.6,12.69,12.95,12.1,9.94,10.15,9.91,9.8,9.6,9.19,9.06,8.9,9.0,9.3,9.6,10.17,10.18,9.94,10.14,10.1,9.97,9.92,9.87,9.88,9.71,9.74,10.15
2. high,11.69,12.0,11.78,11.28,11.25,11.56,11.39,11.3,11.24,11.2,11.6,11.96,12.145,11.53,11.95,12.36,12.85,12.99,14.2,17.31,17.1,16.97,16.925,17.39,17.03,17.28,16.95,16.1,16.19,16.04,16.41,16.44,17.12,17.46,17.84,17.93,17.4,16.89,16.46,16.14,16.48,16.35,16.05,16.34,14.99,14.75,15.31,14.85,15.525,15.84,15.97,16.13,16.3,16.198,16.83,16.8,16.44,15.68,15.3,15.47,14.74,14.31,13.96,14.11,14.16,14.1299,13.78,13.94,13.7,13.4,13.58,13.05,12.88,12.63,12.87,13.68,13.68,10.23,10.18,10.2,10.08,9.78,9.7,9.3,9.04,9.15,9.31,9.63,10.17,10.29,10.21,10.14,10.15,10.09,10.006,10.21,9.915,10.04,9.95,10.22
3. low,11.18,11.3,11.08,11.035,11.0,11.015,10.9,10.97,11.03,10.93,11.33,11.25,11.69,10.94,11.2,11.89,12.145,12.59,12.48,16.8,16.39,16.34,16.29,16.75,16.58,16.68,15.99,15.62,15.68,15.39,15.25,15.61,16.11,16.65,17.29,17.21,16.9,16.15,15.75,15.79,15.93,15.08,15.25,14.95,14.27,14.23,14.195,13.95,14.36,15.07,15.38,15.4,15.48,15.63,15.97,15.78,15.3,15.04,14.86,14.85,13.9201,13.22,13.22,13.55,13.73,13.57,13.28,13.23,13.32,12.6138,12.92,12.77,11.83,11.86,12.06,12.58,11.5481,9.68,9.81,9.91,9.74,9.46,9.16,8.92,8.72,8.82,8.81,8.83,9.8,9.8201,9.94,9.96,9.95,9.7901,9.8,9.87,9.55,9.69,9.59,9.87
4. close,11.69,11.46,11.76,11.06,11.23,11.04,11.32,10.98,11.1,11.15,11.34,11.4,12.11,11.35,11.24,11.97,12.18,12.91,12.64,16.87,17.01,16.8,16.34,17.03,16.79,17.06,16.9,15.97,15.7,15.95,15.53,16.36,16.14,16.76,17.41,17.59,17.31,16.87,16.45,15.92,16.02,16.33,15.88,16.34,14.84,14.5,14.56,14.75,14.43,15.16,15.69,15.8,15.53,15.99,16.13,16.69,16.44,15.34,14.92,15.2,14.7,14.26,13.8,13.69,13.75,14.06,13.42,13.4,13.65,13.32,13.08,12.99,12.82,12.03,12.6,12.71,13.34,10.09,9.87,10.13,9.89,9.7,9.58,9.21,9.0,8.86,9.04,9.14,9.84,10.12,10.19,10.09,10.11,10.02,9.87,10.08,9.82,9.89,9.71,9.89
5. adjusted close,11.69,11.46,11.76,11.06,11.23,11.04,11.32,10.98,11.1,11.15,11.34,11.4,12.11,11.35,11.24,11.97,12.18,12.91,12.64,16.87,17.01,16.8,16.34,17.03,16.79,17.06,16.9,15.97,15.7,15.95,15.53,16.36,16.14,16.76,17.41,17.59,17.31,16.87,16.45,15.92,16.02,16.33,15.88,16.34,14.84,14.5,14.56,14.75,14.43,15.16,15.69,15.8,15.53,15.99,16.13,16.69,16.44,15.34,14.92,15.2,14.7,14.26,13.8,13.69,13.75,14.06,13.42,13.4,13.65,13.32,13.08,12.99,12.82,12.03,12.6,12.71,13.34,10.09,9.87,10.13,9.89,9.7,9.58,9.21,9.0,8.86,9.04,9.14,9.84,10.12,10.19,10.09,10.11,10.02,9.87,10.08,9.82,9.89,9.71,9.89
6. volume,512209,720416,2363109,526748,404267,453857,912984,767762,679542,453523,692867,899664,783923,1557349,1781665,1337859,1498686,1447570,3940612,635700,783940,621032,766723,571772,432241,553919,723153,360602,375042,490838,584005,534870,713052,767171,806050,1116654,851611,949213,510683,376112,507389,718087,1317867,2741408,514910,600202,562523,833139,696843,672013,677172,936180,448732,552884,1012546,1401696,2677668,1015017,730077,1411702,1300835,1065907,1103085,863314,946974,853771,872056,579539,842598,801562,1454878,915158,1090185,882027,1308476,1911617,5920173,857269,679174,799886,372043,265118,553287,305766,389007,543350,527698,886012,350946,304599,298189,280349,442180,475775,261590,395284,441173,258767,325798,400834
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
