,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,78.24,76.5,77.2,77.0,72.04,74.05,78.2,79.84,76.87,70.82,68.84,69.54,68.43,72.27,74.58,70.46,76.99,74.79,76.13,76.65,77.0,81.99,81.6,86.92,84.64,91.12,86.67,85.45,78.31,69.35,68.37,73.0,67.89,67.0,68.18,68.03,67.0,64.27,68.54,70.49,71.32,77.0,77.1,74.08,65.03,69.49,70.51,62.43,76.86,80.9,83.89,82.7,85.34,83.0,88.07,88.85,84.0,86.0,94.45,82.0,75.31,88.06,93.63,108.57,112.31,109.17,96.02,105.03,97.66,92.79,100.03,111.67,105.5,116.0,125.07,116.14,121.26,125.2,115.77,112.0,110.31,117.55,116.01,111.78,92.75,96.14,102.74,97.76,96.55,100.72,92.5,85.08,82.95,73.71,74.48,80.06,82.52,78.61,73.8,80.5
2. high,78.5,83.58,78.4,78.0,79.36,74.05,78.2,80.4,80.49,77.68,72.9129,71.88,71.9,73.72,77.715,77.2,77.93,77.4,76.63,80.1187,77.76,82.66,82.9356,86.92,87.56,91.12,92.0,89.8,86.48,75.5,73.7,76.63,70.95,69.2,71.3,68.6699,68.29,70.09,69.03,70.82,74.7,77.09,79.2,77.06,72.34,71.4799,71.45,70.63,76.86,82.86,87.709,84.2408,86.5829,90.33,93.39,91.44,95.41,93.2,94.47,89.61,80.96,89.97,98.83,110.34,117.5,118.0,107.25,107.35,105.98,95.425,106.4,112.2246,108.69,116.6,129.2095,126.13,121.71,130.33,127.64,119.41,111.55,118.57,121.22,118.9,104.51,98.23,103.17,108.78,102.72,109.77,98.75,95.29,85.42,82.93,75.99,81.44,83.67,85.545,77.495,84.78
3. low,73.41,76.01,74.2,74.01,72.04,68.87,71.65,76.47,75.84,69.55,67.51,68.51,67.75,63.82,71.69,68.5001,70.585,73.42,71.89,76.035,72.44,77.65,79.45,80.66,82.29,83.86,85.27,82.6685,76.71,68.03,67.52,66.5,67.21,65.6,65.63,64.9,65.405,64.06,64.6515,67.2,70.58,68.02,74.38,71.55,63.0,60.56,66.7324,62.42,65.9,73.51,80.1,79.23,80.3,82.83,84.8,86.62,83.05,85.44,77.43,81.29,70.3,73.2801,80.52,94.0501,107.2,108.0,94.57,96.45,90.49,81.505,94.6142,103.85,100.66,104.1601,116.61,113.06,115.11,117.01,115.77,111.3387,103.43,105.0,110.26,104.1,92.74,84.05,90.0145,96.5553,92.5,91.6,91.24,82.5,80.61,73.71,71.46,74.0,76.65,77.3,71.53,74.1
4. close,76.4,78.95,74.38,77.94,78.63,71.98,72.59,77.96,78.41,76.77,71.23,71.24,71.73,65.11,72.37,75.46,72.15,74.7,73.59,77.2,74.51,79.54,80.49,83.58,85.72,85.62,91.99,89.51,85.6,74.89,69.04,66.94,70.26,67.65,66.3,67.92,67.22,69.29,66.22,68.08,71.25,70.12,75.19,75.5,70.58,62.16,70.34,68.02,66.09,74.44,80.47,79.23,81.21,87.99,85.73,88.07,94.22,91.21,78.38,87.98,72.04,79.98,86.14,94.51,109.9,117.46,104.25,97.9,105.4,92.75,95.25,104.8,107.27,112.51,120.22,123.83,118.91,119.53,124.13,114.09,109.19,108.67,119.7,115.85,103.41,88.06,97.34,103.88,101.89,96.14,96.77,94.47,83.56,82.83,72.0,75.67,77.41,85.3,76.53,77.11
5. adjusted close,76.4,78.95,74.38,77.94,78.63,71.98,72.59,77.96,78.41,76.77,71.23,71.24,71.73,65.11,72.37,75.46,72.15,74.7,73.59,77.2,74.51,79.54,80.49,83.58,85.72,85.62,91.99,89.51,85.6,74.89,69.04,66.94,70.26,67.65,66.3,67.92,67.22,69.29,66.22,68.08,71.25,70.12,75.19,75.5,70.58,62.16,70.34,68.02,66.09,74.44,80.47,79.23,81.21,87.99,85.73,88.07,94.22,91.21,78.38,87.98,72.04,79.98,86.14,94.51,109.9,117.46,104.25,97.9,105.4,92.75,95.25,104.8,107.27,112.51,120.22,123.83,118.91,119.53,124.13,114.09,109.19,108.67,119.7,115.85,103.41,88.06,97.34,103.88,101.89,96.14,96.77,94.47,83.56,82.83,72.0,75.67,77.41,85.3,76.53,77.11
6. volume,2007457,3969949,2120752,2775876,1712600,1886169,1890013,1425972,2545199,2500534,2776393,1597654,1648052,2346197,1992329,2939909,1760862,1342324,1148430,981319,1561907,1369818,1857715,1166584,1295414,3715669,2664280,2856169,6064438,3540470,3939844,3810769,9787826,3117113,2461726,2106615,1405929,3036664,2132807,2487017,2796167,2726917,1885544,3429515,5481856,3091786,2256716,3655733,3596754,2508350,2230220,3759832,1906254,1856246,1697028,2514410,2182067,3245507,3410116,4082643,4120830,4302873,4195690,2258121,2111300,2060632,7020342,2678175,2113498,3430620,2064107,1858321,3578743,2815413,1601810,1155128,1258177,2170242,2666311,2421409,1405895,2766440,2053622,3047213,2807964,3281794,3245029,2642858,2732002,3784642,2609382,3913506,2573453,3375352,3085325,3052383,3345952,2151397,2403488,4215708
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
