,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,160.23,159.34,161.47,161.2,161.31,163.47,161.52,162.57,160.35,159.86,164.41,164.04,163.24,157.44,160.13,160.87,162.63,163.13,160.36,161.41,159.1,160.4,161.56,164.01,163.14,162.29,166.22,164.07,165.0,165.87,169.68,164.0,160.5,156.79,154.77,155.0,154.2,152.56,153.54,151.0,152.01,151.79,152.27,150.84,154.06,153.0,147.16,143.11,144.97,146.55,145.28,147.0,148.48,147.52,149.09,148.16,147.2,148.0,145.53,145.38,143.67,140.0,138.54,139.0,140.99,138.51,141.5,146.32,144.3,142.97,143.91,142.94,141.3,142.35,146.51,141.93,144.49,147.5,146.09,146.02,146.0,143.39,143.2,142.0,138.35,140.58,145.18,139.0,137.33,135.01,133.06,131.25,133.25,135.92,135.91,131.55,136.0,141.24,140.77,143.18
2. high,162.73,162.37,161.51,161.695,162.26,163.54,163.5,163.9,162.0025,160.75,164.41,164.82,164.97,162.325,161.35,161.5,164.41,165.6237,162.6,161.41,161.2,162.43,162.48,164.46,163.245,163.94,166.55,167.31,166.12,167.9,169.73,172.0,165.08,162.89,157.58,156.0,155.97,154.28,154.0,156.25,152.4,154.11,152.74,151.69,155.2342,156.5986,154.0,146.63,146.53,147.19,147.29,148.63,149.8,150.74,150.51,149.45,148.38,149.17,146.48,147.74,147.99,144.08,140.17,139.89,141.14,143.58,144.2387,147.5,147.4,144.22,147.13,144.8121,143.4,142.65,147.03,145.59,145.4,148.365,148.6,148.73,146.64,146.0,145.11,143.95,139.81,142.77,146.8,146.98,141.44,136.91,135.17,134.93,134.15,135.92,137.48,136.57,137.72,144.8661,142.75,145.05
3. low,158.91,157.6,156.25,159.57,160.46,161.02,161.16,161.09,160.1,157.86,162.16,162.89,162.6,157.44,156.19,158.36,162.61,162.9,160.1801,159.05,157.32,160.06,159.88,160.82,159.81,161.7,161.76,163.54,163.03,165.67,165.3,163.955,160.0,153.61,154.355,153.87,153.26,152.01,150.27,151.0,150.18,151.01,150.83,149.04,149.8201,151.49,146.835,142.74,144.45,144.28,145.2,145.6975,146.4378,146.915,147.19,147.29,145.7,146.775,143.365,144.12,143.17,138.58,135.8501,137.71,138.86,138.12,137.92,142.69,143.98,139.6101,142.54,141.81,139.39,140.01,141.8665,141.5,142.05,144.8,146.07,146.01,144.84,142.56,142.07,141.2,136.45,137.305,138.7901,138.45,135.11,132.5535,131.31,130.5,131.75,132.17,134.07,131.51,131.611,140.56,139.0601,140.9
4. close,159.6,161.26,157.89,161.21,160.74,161.12,162.19,161.38,161.68,159.89,162.39,163.48,164.3,162.13,156.48,160.97,163.66,163.41,162.33,160.04,160.68,160.6,160.83,162.57,160.61,162.77,161.82,165.74,164.53,165.99,165.88,170.03,164.1,160.08,155.49,154.4,154.72,154.0,152.56,153.57,150.72,152.45,152.4,150.45,150.19,154.61,153.94,146.59,144.54,144.71,146.0,145.98,146.92,149.85,147.85,149.43,148.16,147.54,145.84,144.38,143.63,143.89,139.07,139.07,139.24,140.41,138.21,143.53,146.76,144.18,143.87,144.68,142.49,141.31,143.19,145.13,143.0,146.51,147.66,146.8,145.72,144.68,142.34,142.72,137.67,137.85,140.29,145.46,140.58,136.28,134.5,134.09,132.67,132.3,134.81,135.55,133.2,142.91,141.5,142.86
5. adjusted close,159.6,161.26,157.89,161.21,160.74,161.12,162.19,161.38,161.68,159.89,162.39,163.48,164.3,162.13,156.48,160.97,163.66,163.41,162.33,160.04,160.68,160.6,160.83,162.57,160.61,162.77,161.82,165.74,164.53,165.99,165.88,170.03,164.1,160.08,155.49,154.4,154.72,154.0,152.56,153.57,150.72,152.45,152.4,150.45,150.19,154.61,153.94,146.59,144.54,144.71,146.0,145.98,146.92,149.85,147.85,149.43,148.16,147.54,145.84,144.38,143.63,143.89,139.07,139.07,139.24,140.41,138.21,143.53,146.76,144.18,143.87,144.68,142.49,141.31,143.19,145.13,143.0,146.51,147.66,146.8,145.72,144.68,142.34,142.72,137.67,137.85,140.29,145.46,140.58,136.28,134.5,134.09,132.67,132.3,134.81,135.55,133.2,142.91,141.5,142.86
6. volume,1440402,1775874,1655276,1509492,858837,796171,836425,721156,769632,1067667,693998,776158,875928,1205562,1341390,1585741,1194735,1204640,1049761,597000,1165615,977731,709287,727860,746012,752552,884020,922780,1180902,1032756,1510884,2574936,2322083,3756936,956872,708892,624356,517707,694280,922549,955877,825155,732393,833431,1036238,1482344,1662696,1170817,912049,807657,890789,1771349,1039863,844647,1043056,884293,871380,1070935,1006565,1069810,1413836,1569760,1491445,919021,966982,1664426,2163482,1774026,1050739,1143520,1141625,890801,1069223,1163894,844740,868761,1493189,1126149,866031,865674,921003,872447,1203394,1720638,1382811,1472719,2678267,3451147,1730150,1585104,1592114,2859211,2906369,2227097,2393180,3351536,7103935,1009982,1152082,1450224
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
