,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,34.58,35.75,36.41,35.09,34.26,33.85,34.35,34.52,34.24,34.05,34.62,35.65,35.79,36.07,35.24,34.11,37.59,37.99,37.28,37.7,37.82,39.9,40.22,42.03,41.26,42.35,41.86,40.53,40.7,39.67,39.88,40.37,40.56,38.45,38.76,38.43,38.26,37.84,38.21,38.6,38.61,37.98,35.71,33.75,31.88,32.67,33.44,32.82,35.37,35.13,36.34,35.36,37.45,37.63,38.62,38.58,40.13,39.51,39.22,42.76,43.06,41.92,41.25,42.97,43.19,43.35,43.41,45.0,42.99,42.58,42.45,40.58,40.1,40.91,42.67,41.96,42.47,48.0,39.63,39.41,38.73,36.73,36.52,35.31,34.27,35.17,35.38,36.29,37.05,38.06,38.18,38.68,38.81,38.41,38.59,38.15,39.25,38.78,36.86,35.55
2. high,34.625,35.75,36.72,36.46,35.16,34.17,34.685,34.71,34.71,34.55,35.55,35.95,36.15,36.75,36.56,36.28,38.0,38.85,37.98,37.97,37.82,39.98,40.74,42.03,42.06,42.35,42.74,42.1,41.54,40.5,40.19,40.85,41.3,40.26,38.76,38.99,38.84,38.44,38.86,38.6,39.71,38.96,37.57,35.39,33.49,32.73,33.7833,33.39,35.37,35.39,36.72,37.08,37.45,38.51,39.16,39.0,40.13,40.4,39.65,43.04,43.48,43.11,41.96,43.28,43.39,43.79,43.75,45.25,45.13,43.56,43.62,43.21,41.08,41.52,42.72,43.0599,44.13,48.2,41.08,39.94,39.2355,38.45,36.68,36.5,35.53,35.17,35.68,36.5,37.06,38.37,38.46,38.69,39.295,38.78,39.25,39.25,39.62,39.93,38.73,37.3
3. low,33.47,34.4,35.23,34.33,34.14,32.63,33.75,33.86,33.65,33.3,34.21,34.32,35.31,34.91,34.43,32.0,35.93,37.87,36.41,37.44,36.55,38.31,39.49,40.48,41.01,41.19,41.81,40.14,40.38,39.17,38.83,39.76,39.6574,37.995,37.9201,37.775,37.54,37.54,37.71,37.21,38.335,37.5,35.7,33.75,31.5,31.71,32.25,32.82,32.81,34.45,35.54,35.23,35.19,36.985,37.655,38.33,38.65,39.08,38.47,38.95,41.35,40.44,39.84,41.38,42.245,42.8025,41.48,43.11,42.61,42.25,42.26,40.48,39.66,40.25,40.83,41.24,41.67,40.98,39.1928,38.87,38.53,36.61,35.7,35.2365,34.21,33.77,34.68,34.98,36.31,36.4,37.67,37.7,38.23,38.09,37.89,38.04,37.89,38.6275,36.6,35.4466
4. close,34.17,34.44,35.67,36.15,34.89,34.1,33.76,34.21,34.1,34.25,34.75,34.48,36.07,35.38,35.88,35.36,36.1,38.09,37.96,37.45,37.3,38.31,39.78,40.71,41.85,41.36,42.06,41.79,40.4,40.45,39.76,40.09,40.78,40.18,38.04,38.66,38.43,38.36,37.98,37.83,38.54,38.74,37.5,35.23,33.48,32.06,32.7,33.2,32.85,34.97,35.64,36.34,35.33,37.75,37.9,38.55,38.96,39.89,38.95,39.07,41.7,43.0,41.25,41.56,42.87,43.14,42.35,43.17,45.09,43.07,43.31,43.01,40.27,40.95,41.54,42.88,42.03,42.82,40.73,39.75,39.08,38.41,36.65,36.39,35.06,33.98,35.14,34.99,36.85,36.8,38.0,38.43,38.48,38.58,37.98,38.94,37.95,39.45,38.51,37.21
5. adjusted close,34.17,34.44,35.67,36.15,34.89,34.1,33.76,34.21,34.1,34.25,34.75,34.48,36.07,35.38,35.88,35.36,36.1,38.09,37.96,37.45,37.3,38.31,39.78,40.71,41.85,41.36,42.06,41.79,40.4,40.45,39.76,40.09,40.78,40.18,38.04,38.66,38.43,38.36,37.98,37.83,38.54,38.74,37.5,35.23,33.48,32.06,32.7,33.2,32.85,34.97,35.64,36.34,35.33,37.75,37.9,38.55,38.96,39.89,38.95,39.07,41.7,43.0,41.25,41.56,42.87,43.14,42.35,43.17,45.09,43.07,43.31,43.01,40.27,40.95,41.54,42.88,42.03,42.82,40.73,39.75,39.08,38.41,36.65,36.39,35.06,33.98,35.14,34.99,36.85,36.8,38.0,38.43,38.48,38.58,37.98,38.94,37.95,39.45,38.51,37.21
6. volume,235218,180716,266621,775656,257263,526279,146596,127860,212351,321919,430197,384991,132916,173709,232347,471216,201633,296379,348349,160227,176962,185880,152240,122343,77238,334900,119239,166788,238580,116024,183833,272138,321911,207782,356511,185085,120301,162185,135813,188578,248673,331548,567253,437488,537690,1092871,494124,332865,235185,541653,341958,1199801,501881,449459,216471,300806,133562,329170,220475,495430,797966,393940,347228,267682,313080,225608,195692,229895,263319,360247,391123,386224,402102,389005,547895,228980,413983,861887,266340,180238,176829,238100,151917,352517,403763,260377,202305,206272,176670,269628,159847,154512,437823,216338,156905,197139,225076,297737,257646,383087
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
