,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,121.96,121.97,121.64,123.01,122.04,124.11,123.4,121.35,120.74,117.16,121.93,118.6,116.98,113.64,114.09,115.08,117.72,115.03,113.57,112.63,112.72,115.26,116.71,117.75,118.23,119.13,119.11,117.34,117.31,115.53,117.57,117.5,117.06,117.0,115.95,116.66,115.31,114.72,114.75,114.43,114.63,113.1,111.62,109.71,107.39,109.72,106.82,102.91,105.64,108.35,109.4,108.03,108.44,108.0,108.5,104.98,104.56,105.0,103.86,103.43,102.0,100.24,100.1,101.47,103.45,102.08,98.13,102.36,100.4,101.11,104.01,104.1,105.69,107.29,105.19,103.45,103.58,104.39,102.17,100.89,101.97,102.0,100.62,101.46,98.72,100.64,102.56,101.88,105.69,104.75,105.71,107.11,106.11,104.64,103.27,104.28,104.56,104.44,103.2,106.09
2. high,122.28,122.485,121.64,123.26,123.21,124.76,124.35,123.0,121.36,120.4976,121.93,121.585,119.42,117.485,115.44,117.0,118.59,117.57,115.005,113.32,113.16,115.6942,116.71,117.97,118.33,119.13,119.44,119.215,118.48,117.5426,117.72,118.2658,118.33,117.0,117.73,117.52,116.83,115.71,115.38,114.66,115.31,115.31,112.16,112.52,109.99,111.857,109.94,106.345,107.37,109.5,109.97,109.86,110.988,109.93,109.25,108.09,105.58,105.73,104.16,104.04,103.78,101.81,101.64,102.64,103.84,104.6,101.13,102.86,103.435,101.41,104.52,106.5,106.585,108.0,108.0,105.22,104.34,104.79,104.0,102.74,103.175,104.0,101.54,101.565,100.7,100.97,102.56,102.99,105.69,106.275,106.765,108.27,108.09,105.8893,104.6,105.54,105.11,105.54,104.47,106.48
3. low,120.77,120.82,118.5,120.97,121.52,121.9,123.22,121.275,119.385,116.6901,119.11,117.545,115.93,113.55,112.81,114.1,116.06,113.64,110.33,111.32,110.65,113.58,113.735,116.63,116.41,117.57,118.39,116.98,116.4514,115.2,115.39,116.6838,116.76,115.47,115.6,114.8712,115.05,114.45,113.02,113.27,114.0214,112.55,110.24,109.53,107.39,107.08,105.545,102.61,103.45,103.765,108.4,106.5338,107.57,107.165,107.33,104.11,103.61,103.27,102.1,102.32,101.39,96.74,96.4,100.01,101.46,101.32,98.13,97.385,100.4,97.45,102.0,103.4943,102.88,105.41,104.71,102.77,102.02,102.84,101.72,99.94,99.26,98.09,99.01,98.46,97.4,97.58,100.68,99.5,102.685,104.23,104.26,106.37,106.11,104.09,102.78,103.96,103.57,103.475,102.24,103.66
4. close,121.63,121.94,120.33,121.24,121.96,122.07,123.65,122.15,120.98,120.17,119.4,121.24,119.02,116.34,112.87,115.42,117.32,117.5,114.3,113.01,111.7,114.13,114.07,117.54,116.68,118.24,118.48,118.51,116.68,117.09,115.96,117.86,117.86,116.53,116.27,115.77,116.35,115.69,115.13,113.8,114.76,114.6,112.14,110.82,109.44,107.76,109.75,105.94,103.59,104.69,109.02,109.13,108.12,109.52,108.1,108.08,105.27,105.07,103.99,102.82,102.01,101.37,98.75,100.7,101.58,103.78,100.26,98.03,102.88,100.75,102.02,105.35,103.34,106.51,107.25,105.08,104.1,102.91,103.76,102.69,100.41,100.95,99.96,100.26,100.33,97.63,101.17,101.47,103.7,104.91,104.89,106.7,106.88,105.38,103.89,104.11,103.69,104.77,104.0,104.35
5. adjusted close,121.63,121.94,120.33,121.24,121.96,122.07,123.65,122.15,120.98,120.17,119.4,121.24,119.02,116.34,112.87,115.42,117.32,117.5,114.3,113.01,111.7,114.13,114.07,117.54,116.68,118.24,118.48,118.51,116.68,117.09,115.96,117.86,117.86,116.53,116.27,115.77,116.35,115.69,115.13,113.8,114.76,114.6,112.14,110.82,109.44,107.76,109.75,105.94,103.59,104.69,109.02,109.13,108.12,109.52,108.1,108.08,105.27,105.07,103.99,102.82,102.01,101.37,98.75,100.7,101.58,103.78,100.26,98.03,102.88,100.75,102.02,105.35,103.34,106.51,107.25,105.08,104.1,102.91,103.76,102.69,100.41,100.95,99.96,100.26,100.33,97.63,101.17,101.47,103.7,104.91,104.89,106.7,106.88,105.38,103.89,104.11,103.69,104.77,104.0,104.35
6. volume,660604,545185,545316,855232,579737,439417,350060,365865,400270,534627,476529,511692,448354,567930,718271,676947,756796,578638,508048,361101,490469,560315,530335,356365,324594,401119,326587,347656,301927,437971,351397,345130,428423,326683,376378,401191,335671,272138,478966,265387,504326,453818,282414,1096711,467504,532326,259052,357233,374606,544630,491200,1079630,409130,446020,407149,395366,409556,421514,506261,531457,653142,569054,849831,522382,446815,511145,942242,865837,515844,825967,577960,1235038,781769,640453,946220,558710,502805,445505,515447,409438,457878,653336,469575,614529,441409,628323,376639,464152,338894,340667,252656,361340,350738,444752,295817,311985,477742,469122,382241,404213
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
