,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,14.52,14.72,16.53,17.69,18.95,18.5,16.8,16.49,15.55,15.06,15.34,14.89,14.39,14.3,14.07,13.1,13.77,14.18,14.14,13.87,14.27,14.73,14.79,15.15,15.17,15.13,15.24,15.13,14.63,14.67,15.62,15.64,15.99,16.5,15.65,15.36,15.45,15.64,15.58,15.76,14.66,15.45,15.21,14.74,13.97,14.84,14.84,14.63,15.3,15.88,16.1,15.92,16.3,16.29,17.01,17.04,17.02,16.87,16.7,15.85,16.38,16.54,17.26,18.39,18.88,18.53,18.0,19.29,19.28,18.79,19.59,19.91,19.45,20.04,20.04,20.34,20.15,20.6,20.08,19.74,19.7,20.91,21.61,21.8,20.95,20.65,20.68,21.5,22.33,23.0,21.75,21.59,22.5,21.8,22.335,22.63,22.23,21.6,22.08,21.94
2. high,15.05,14.91,16.53,17.74,19.6,19.17,18.8,17.08,16.5,15.82,15.94,15.47,15.8,15.17,14.86,13.56,14.06,14.58,14.24,14.39,14.3,14.73,15.07,15.3378,15.57,15.38,15.28,15.55,15.54,14.86,15.73,15.96,16.24,16.52,16.58,15.84,15.45,15.7,15.95,15.76,15.87,15.45,15.81,14.9791,14.56,14.84,15.46,15.14,15.53,15.97,16.36,16.19,16.495,16.88,17.22,17.42,17.3,17.72,17.21,16.72,16.76,17.0,17.3,18.52,19.37,19.32,18.67,19.4399,19.85,19.99,19.8,20.26,19.98,20.2,20.68,20.37,20.81,21.0,20.7,20.87,20.5899,21.57,21.94,22.66,21.88,21.0,20.96,21.5,22.69,23.77,22.75,22.184,22.86,22.79,22.335,24.95,23.21,22.38,22.59,22.38
3. low,14.41,14.34,14.39,15.1401,18.59,18.17,16.8,16.1,15.39,15.01,15.24,14.89,14.19,13.78,13.82,12.58,13.35,14.04,13.69,13.87,13.52,14.19,14.6,14.68,15.01,14.82,14.84,14.98,14.555,13.91,14.6,15.532,15.6408,15.36,15.65,15.22,15.02,15.15,15.42,15.0,14.57,14.66,15.1317,14.51,13.61,13.69,14.65,14.52,14.86,15.23,15.69,15.62,15.9,15.94,16.45,16.74,16.69,16.64,16.2,15.686,15.1,15.57,15.94,17.37,18.43,18.53,17.36,18.27,19.05,17.76,19.22,19.85,19.31,19.33,19.92,19.41,19.87,19.94,19.84,19.5,19.35,20.0,20.78,21.65,20.81,20.23,20.57,20.5,21.4124,21.89,21.55,21.03,20.87,21.739,20.78,22.28,22.0,21.38,21.425,21.7
4. close,14.45,14.5,14.46,16.27,18.68,19.06,18.34,16.8,16.43,15.4,15.3,15.23,15.09,14.05,14.09,13.36,13.46,14.07,13.95,14.12,13.87,14.3,14.74,15.0,15.14,15.15,15.11,15.25,15.01,14.6,14.64,15.68,15.75,15.96,16.48,15.39,15.2,15.52,15.75,15.44,15.73,14.76,15.35,14.78,14.47,13.93,15.1,14.83,14.98,15.3,15.83,15.78,15.92,16.7,16.65,16.95,17.05,17.47,16.29,16.69,15.41,16.84,16.29,17.47,18.45,19.06,18.23,18.4,19.17,19.92,19.36,19.97,19.93,20.04,20.17,19.96,19.93,20.25,20.64,20.23,20.4,20.12,20.81,22.13,21.78,20.52,20.68,20.73,21.72,22.37,22.28,21.82,21.5,22.48,21.51,22.33,22.49,22.24,21.6,22.36
5. adjusted close,14.45,14.5,14.46,16.27,18.68,19.06,18.34,16.8,16.43,15.4,15.3,15.23,15.09,14.05,14.09,13.36,13.46,14.07,13.95,14.12,13.87,14.3,14.74,15.0,15.14,15.15,15.11,15.25,15.01,14.6,14.64,15.68,15.75,15.96,16.48,15.39,15.2,15.52,15.75,15.44,15.73,14.76,15.35,14.78,14.47,13.93,15.1,14.83,14.98,15.3,15.83,15.78,15.92,16.7,16.65,16.95,17.05,17.47,16.29,16.69,15.41,16.84,16.29,17.47,18.45,19.06,18.23,18.4,19.17,19.92,19.36,19.97,19.93,20.04,20.17,19.96,19.93,20.25,20.64,20.23,20.4,20.12,20.81,22.13,21.78,20.52,20.68,20.73,21.72,22.37,22.28,21.82,21.5,22.48,21.51,22.33,22.49,22.24,21.6,22.36
6. volume,1209213,1179209,2302540,15182507,1347665,1262283,1483311,852443,1066644,1280173,1366660,744407,819233,965613,1784924,551377,609550,180587,484825,189500,232320,334622,378532,233822,496353,273823,199767,155098,242765,706630,298301,179973,163851,325281,306949,203825,266190,307522,126481,362559,216952,257371,348389,321617,382847,727488,613881,519051,655821,225260,408365,652810,249899,405861,255020,225800,201532,278413,479600,298353,458143,757598,486129,289275,174055,280007,611564,305658,597279,748587,405742,451596,300814,788407,1020763,709293,1131335,894888,536640,745599,1161991,504587,836191,346913,279806,461933,279233,417734,322183,840771,1618600,383609,1019216,781891,522445,930675,1487306,246804,284754,508961
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
