,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,20.5,20.18,20.05,20.75,20.41,21.07,20.98,20.47,20.07,19.77,20.0,20.01,20.12,19.14,19.59,19.71,20.81,20.3,18.81,18.72,18.65,17.95,17.99,18.52,17.64,17.78,17.79,18.5,19.06,18.47,18.78,18.04,18.06,17.88,17.2,17.82,19.08,19.8,19.8,19.56,19.69,19.14,19.71,19.45,18.1,20.75,19.49,18.98,19.24,19.66,20.72,21.04,21.43,20.56,21.18,19.53,19.51,19.89,18.34,19.6,18.75,18.11,18.71,18.12,17.81,17.85,18.38,18.72,18.87,19.51,19.89,19.38,20.29,21.05,20.76,18.92,19.3,18.83,18.53,17.97,16.93,16.78,16.07,16.0,16.0,16.12,16.43,16.61,17.17,17.2,16.67,17.36,17.87,18.32,18.5,18.64,19.04,18.25,18.04,18.2
2. high,20.5,20.42,20.24,20.78,20.8,21.08,21.17,21.27,20.25,20.34,20.29,20.05,20.59,20.08,19.91,20.07,21.04,21.0,20.29,18.72,19.12,18.72,18.2,19.0,18.36,17.84,18.07,18.55,19.13,19.1,18.78,18.95,18.13,17.97,18.16,17.82,19.22,19.835,20.07,19.74,19.74,19.6899,19.71,19.54,18.765,20.91,20.47,19.24,19.87,19.9702,20.77,21.04,22.39,22.199,21.71,21.7,19.79,20.33,19.57,19.87,19.6,18.53,18.9574,18.99,18.27,17.97,18.38,18.9493,19.03,19.51,20.188,19.96,20.55,21.05,21.335,20.4507,19.36,19.4,19.0222,18.8,17.76,17.07,16.93,16.28,16.08,16.79,16.48,16.7709,17.8,17.25,17.26,17.405,17.87,18.6306,18.875,19.47,19.09,19.5,18.0784,19.38
3. low,19.49,20.05,19.94,19.76,20.34,20.39,20.73,20.22,19.47,19.41,19.695,19.34,19.88,19.115,19.25,19.36,20.23,20.01,18.23,18.3,18.27,17.89,17.65,18.08,17.55,17.46,17.52,17.7,18.41,18.05,18.05,17.82,17.54,17.42,17.1,16.81,17.72,19.0,19.51,19.23,19.44,18.55,18.83,18.02,17.9,18.08,19.2,18.36,18.99,18.77,20.08,19.82,20.62,20.42,20.25,19.53,18.34,19.4,18.2,18.43,18.5,17.5,17.395,17.95,17.49,17.3651,17.14,18.195,18.36,18.08,19.52,19.38,19.1201,20.0132,20.01,18.885,18.57,18.7318,18.28,17.92,16.81,16.51,16.07,15.8,15.45,15.92,16.01,16.16,16.99,16.72,16.455,16.74,17.07,17.42,17.94,18.572,18.31,18.25,17.28,18.115
4. close,19.86,20.28,20.04,19.97,20.54,20.42,20.94,21.09,20.21,20.15,20.01,19.88,20.07,19.96,19.4,19.6,20.27,20.45,20.23,18.54,18.57,18.63,17.68,18.17,18.25,17.63,17.78,17.7,18.42,19.02,18.44,18.73,18.01,17.64,17.82,17.07,17.81,19.15,19.91,19.67,19.6,19.51,19.08,19.38,18.36,18.26,20.01,18.99,18.99,18.89,20.14,20.7,20.7,21.58,21.42,21.42,19.54,20.14,19.53,18.43,19.53,18.51,17.73,18.65,18.0,17.63,17.34,18.3,18.68,18.57,19.54,19.8,19.31,20.26,21.04,20.15,18.98,19.24,18.77,18.6,17.72,16.66,16.83,16.16,15.79,16.01,16.14,16.31,17.11,17.15,17.23,17.0,17.27,17.56,18.07,18.94,18.48,18.98,17.91,18.58
5. adjusted close,19.86,20.28,20.04,19.97,20.54,20.42,20.94,21.09,20.21,20.15,20.01,19.88,20.07,19.96,19.4,19.6,20.27,20.45,20.23,18.54,18.57,18.63,17.68,18.17,18.25,17.63,17.78,17.7,18.42,19.02,18.44,18.73,18.01,17.64,17.82,17.07,17.81,19.15,19.91,19.67,19.6,19.51,19.08,19.38,18.36,18.26,20.01,18.99,18.99,18.89,20.14,20.7,20.7,21.58,21.42,21.42,19.54,20.14,19.53,18.3735528331,19.4701837672,18.4533078101,17.6756967841,18.5928790199,17.9448698315,17.5760030628,17.2868912711,18.2439509954,18.6227871363,18.5131240429,19.4801531394,19.7393568147,19.2508575804,20.1979479326,20.9755589587,20.0882848392,18.9218683002,19.1810719755,18.7125114855,18.5430321593,17.6657274119,16.6089739663,16.7784532925,16.1105053599,15.7416385911,15.9609647779,16.0905666156,16.2600459418,17.0575957121,17.0974732006,17.1772281776,16.9479326187,17.2171056662,17.5062174579,18.0146554364,18.8819908116,18.4233996937,18.9218683002,17.8551454824,18.523093415
6. volume,294384,250934,74326,215325,112454,164084,155695,169322,187743,110336,153169,101375,125415,156731,148265,211289,163574,345316,542285,157800,228049,220971,177713,154150,137582,187279,168109,324613,169067,223616,248592,269678,190313,156772,263356,281239,353984,204349,240676,248216,298982,641614,620166,616115,235920,305894,250348,239191,151858,142562,125121,477885,240577,309872,301524,317064,402109,261767,214086,185618,320404,258628,291135,221473,218174,157028,154516,179772,211436,246179,144477,159356,191242,142041,257856,244704,148166,184804,144146,278376,201128,205899,165125,177721,233712,192623,207179,171117,142878,146486,147499,134032,133860,225727,91710,83722,91077,208431,175779,163772
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
