,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,50.84,50.18,50.09,50.63,49.61,50.25,50.09,49.64,48.76,48.65,50.69,49.63,50.39,48.73,50.9,51.49,52.63,51.6,50.88,51.29,50.07,50.51,50.98,51.33,50.0,50.53,51.31,50.55,50.5,48.81,48.92,48.91,49.6,48.55,48.27,49.35,48.58,47.94,47.73,48.44,48.34,48.65,47.38,47.25,46.77,47.22,47.37,45.67,46.99,47.32,48.94,49.28,49.33,49.22,49.62,50.67,51.54,49.68,47.87,48.73,48.2,46.37,46.11,46.4,46.4,45.87,45.37,46.32,46.07,45.79,46.03,46.1,46.77,45.8,42.57,40.87,41.17,41.53,41.64,42.13,42.14,39.47,39.7,39.51,38.26,38.27,38.24,39.49,42.34,42.0,40.77,41.76,42.28,43.55,44.28,44.61,46.43,46.07,43.72,43.91
2. high,50.92,50.78,50.18,50.73,50.07,50.5,50.32,50.12,48.98,49.05,51.0,50.72,50.835,50.43,51.08,51.96,52.78,52.54,52.37,51.46,51.13,50.97,51.26,51.63,51.14,50.62,51.52,51.32,50.92,50.55,49.18,49.1,49.99,49.05,49.11,49.35,49.35,48.72,47.99,48.45,49.17,48.86,47.93,48.07,47.55,48.14,48.13,46.88,47.94,47.99,49.42,49.76,51.0,49.35,49.98,50.74,51.54,51.07,49.85,48.73,48.88,47.84,46.47,47.05,47.0,47.29,45.525,46.95,46.18,46.16,46.305,46.42,47.07,47.53,45.66,41.75,41.41,41.55,41.8,42.1782,42.29,41.88,39.93,40.86,39.06,38.32,39.21,39.5331,42.43,42.18,42.49,42.23,42.43,43.565,44.295,45.27,47.02,47.31,49.08,44.94
3. low,50.0,49.906,49.19,49.91,49.26,49.27,49.68,49.18,48.03,47.9,49.64,49.16,50.0,48.73,48.59,50.5,52.09,51.34,50.66,50.68,49.6497,49.93,49.61,50.54,49.17,49.98,50.38,50.32,49.92,48.61,47.9592,48.33,48.6064,47.91,48.16,47.94,48.09,47.42,47.15,47.49,48.21,48.15,46.79,46.79,46.61,46.71,46.67,44.85,45.93,45.99,47.5,48.25,49.08,48.5,48.38,49.53,50.35,49.42,47.34,47.215,47.95,45.78,44.47,46.0,45.945,45.51,44.2201,45.1,45.33,45.08,45.645,45.52,45.1,45.31,42.085,40.57,40.21,40.36,40.71,41.29,41.37,39.38,38.78,39.21,37.29,37.31,37.75,37.55,40.43,41.05,40.74,41.23,41.3,41.57,42.88,44.16,44.28,45.8,43.67,43.7
4. close,50.34,50.75,49.97,49.92,50.05,49.32,50.1,49.73,48.78,48.92,49.68,50.61,50.65,50.14,48.62,51.15,52.27,52.46,52.34,50.76,51.1,50.51,49.93,51.53,50.52,50.21,50.42,50.99,50.22,50.26,48.65,48.91,49.1,49.01,48.42,48.28,49.14,48.58,47.77,47.81,48.38,48.45,47.92,47.09,47.15,46.77,47.72,46.59,46.01,46.19,48.19,49.33,49.25,49.33,48.99,50.04,51.15,51.01,49.55,47.81,48.34,47.71,45.26,46.05,46.23,46.53,44.95,45.22,46.07,45.74,45.93,46.37,45.68,47.1,45.1,41.52,41.17,40.91,41.17,41.72,41.85,41.81,39.42,40.03,38.89,37.86,38.56,37.78,40.52,41.88,42.28,41.28,41.61,42.06,42.92,45.04,44.48,46.78,45.74,44.44
5. adjusted close,50.34,50.75,49.97,49.92,50.05,49.32,50.1,49.73,48.78,48.92,49.5887696388,50.5170618241,50.5569883697,50.0479249133,48.5307161804,51.0560701898,52.1740134666,52.3636645583,52.2438849214,50.6667863701,51.0061620078,50.4172454601,49.8383105489,51.435372373,50.4272270965,50.1177963681,50.3274107325,50.8963640073,50.1277780045,50.1677045501,48.5606610896,48.820183636,49.0098347276,48.92,48.3310834524,48.1913405427,49.0497612732,48.4907896348,47.6822770863,47.7222036319,48.2911569068,48.3610283616,47.8320016323,47.0035258111,47.0634156295,46.6841134462,47.6323689043,46.504443991,45.9255090798,46.105178535,48.1015058151,49.2394123648,49.1595592736,49.2394123648,48.9000367272,49.9481085493,51.0560701898,50.9163272801,49.4590083656,47.7222036319,48.2512303612,47.6223872679,45.1768863497,45.9654356254,46.1451050806,46.4445541726,44.8674556213,45.1369598041,45.9853988982,45.656004897,45.8456559886,46.2848479902,45.5961150786,46.9210622722,44.9286604772,41.3622612642,41.0135909501,40.7545787167,41.0135909501,41.5615014437,41.6910075604,41.6511595245,39.2702393794,39.8779219269,38.7422529038,37.7161659793,38.4135066076,37.6364699075,40.3660603667,41.7208935873,42.1193739463,41.1231730488,41.451919345,41.9002097488,42.7569425207,44.8688884234,44.3110159208,46.602277985,45.5662290516,44.2711678849
6. volume,567322,690311,421368,673534,563644,391129,380838,525908,630526,677752,722352,441161,865885,468980,526359,380238,688794,353359,516038,312579,925007,526581,806175,554605,675998,630354,409917,445231,448410,585991,412662,303057,434772,284678,348946,389284,422491,324001,492764,364193,331739,414522,615653,576992,538122,674112,669828,951476,623437,882948,771892,1740526,675310,729923,591040,540989,703362,789657,1513383,1051180,661303,1043953,608160,547666,579837,590188,535696,585489,700956,943346,1013974,917830,1082368,1822971,2062637,392844,425362,825980,638756,549422,914143,793192,449217,719052,807793,1015186,714410,1163496,456564,510644,917196,610115,728281,1344323,1098053,921488,899322,1286474,2384121,878008
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
