,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,48.47,47.49,47.06,47.89,45.79,45.79,45.62,45.74,45.67,44.75,46.25,46.05,45.19,43.4,45.08,45.01,44.0,46.35,48.65,47.65,47.29,47.29,47.39,48.72,48.72,48.07,47.81,46.78,47.1,46.07,47.53,48.39,49.84,48.84,48.49,48.25,49.09,49.38,49.25,49.69,49.2,50.04,49.39,49.85,49.58,49.72,49.2,46.18,46.74,47.9,48.23,49.19,50.65,50.48,51.17,52.0,52.12,48.88,48.94,50.66,49.0,48.51,47.19,44.71,45.36,47.23,45.19,48.02,46.75,46.64,44.82,43.49,43.0,42.41,43.73,42.25,43.75,43.5,43.22,43.68,43.98,43.55,41.66,41.24,40.1,41.8,41.29,41.11,43.56,42.44,42.56,44.71,44.49,43.66,44.99,44.64,45.41,45.24,42.56,44.39
2. high,48.6,48.63,47.165,48.2598,47.355,46.44,45.98,46.3,45.94,45.99,46.8,46.44,46.77,44.9,45.26,45.51,46.49,47.15,49.18,49.07,47.55,47.81,47.71,48.85,49.46,48.8,48.33,47.43,47.43,46.99,47.59,48.63,50.32,49.4,49.4,48.69,49.27,49.66,49.7099,50.0,50.62,50.36,49.91,50.2,50.72,50.45,50.0,48.99,48.71,48.72,49.11,49.52,51.17,51.71,51.58,52.28,52.96,52.14,49.44,50.66,50.95,48.71,48.95,47.78,45.94,47.405,46.7,48.17,49.1673,47.095,47.74,45.65,43.59,43.84,43.73,43.74,43.81,43.84,43.65,44.23,43.99,44.38,43.48,42.49,40.54,41.8,42.66,41.61,43.87,42.87,43.04,44.77,45.23,44.48,45.04,45.86,45.85,46.04,45.02,44.39
3. low,47.29,47.31,46.17,46.52,45.65,45.6,44.88,45.24,44.567,44.26,45.54,45.3554,44.85,43.08,43.08,43.815,43.95,44.06,47.78,47.65,46.15,46.875,46.48,47.64,48.16,47.72,47.5,46.65,46.17,45.55,45.38,47.6601,48.48,48.0,48.49,46.79,48.55,48.63,48.57,49.22,48.85,48.98,48.86,49.0,49.58,48.85,48.73,45.96,46.53,45.75,47.57,47.62,49.21,49.65,49.935,50.96,51.65,48.76,48.17,48.27,48.765,45.84,46.41,44.71,44.38,45.64,44.75,44.8,46.66,44.94,44.82,43.41,42.48,42.41,42.42,42.25,41.95,42.93,42.83,43.43,43.04,42.65,41.66,41.03,39.5,39.5,41.0867,40.015,41.86,41.1,41.71,42.91,44.3,43.35,43.1001,44.18,44.13,44.64,42.56,42.25
4. close,47.44,48.2,47.06,47.08,47.11,45.65,45.73,45.45,45.3,45.75,45.55,46.24,46.38,44.69,43.21,44.87,45.49,44.15,48.82,48.57,47.2,47.3,46.71,47.8,48.27,48.73,48.15,47.24,46.31,46.93,46.4,47.95,48.54,49.36,48.65,48.28,48.78,49.0,49.25,49.33,49.4,49.23,49.64,49.0,50.01,49.41,49.99,48.76,46.67,46.02,48.49,48.08,49.31,50.76,50.3,51.49,51.96,52.01,48.74,48.81,50.51,47.99,47.68,47.2,44.88,45.78,45.86,45.11,47.54,46.8,46.49,44.98,43.09,43.5,42.61,43.1,42.66,43.54,43.23,43.51,43.17,43.37,43.17,41.72,40.47,39.63,42.06,40.48,41.9,42.8,42.5,43.17,44.66,44.13,43.28,45.23,44.18,45.65,44.95,43.32
5. adjusted close,47.44,48.2,47.06,47.08,47.11,45.65,45.73,45.45,45.3,45.75,45.55,46.24,46.38,44.69,43.21,44.87,45.49,44.15,48.82,48.57,47.2,47.3,46.71,47.8,48.27,48.73,48.15,47.24,46.31,46.93,46.4,47.95,48.54,49.36,48.65,48.28,48.78,49.0,49.25,49.33,49.4,49.23,49.64,49.0,50.01,49.41,49.99,48.76,46.67,46.02,48.49,48.08,49.31,50.5958277744,50.1373155448,51.3234667475,51.7919466343,51.8417849202,48.5823610269,48.652134627,50.3466363453,47.8347867394,47.5257893673,47.0473418233,44.7348453608,45.6319345058,45.7116757631,44.9641014756,47.386242167,46.6486355367,46.3396381645,44.8345219325,42.9506347281,43.3593086719,42.4721871842,42.9606023853,42.52202547,43.3991793006,43.0901819284,43.3692763291,43.0303759854,43.2297291288,43.0303759854,41.5850656964,40.3391085506,39.5018253487,41.92396604,40.3490762078,41.7644835254,42.6615726703,42.3625429553,43.0303759854,44.5155569032,43.9872710734,43.1400202143,45.0837133616,44.0371093592,45.5023549626,44.804618961,43.1798908429
6. volume,423755,539366,379106,886355,728421,988316,554850,1103989,988413,701062,588439,740102,903914,854460,908705,1254766,1481274,2232718,750085,345500,752980,667178,748368,1067820,348531,298508,422620,358803,813925,620188,496603,348154,644488,469872,580655,601501,715119,457866,635322,567750,884703,1338529,356608,722457,557641,967427,1201311,623167,874344,2281282,868058,1279477,709385,1129849,994422,1317393,1716807,1335376,1156303,1189172,1760948,668221,818082,868029,880781,582270,1108010,587252,909836,1483548,1673353,749903,508576,1080322,992786,1289626,845681,1157507,1112737,696688,350905,542809,517870,520521,578826,699345,873520,669493,461147,703134,769597,636466,1125385,532198,708580,564039,811855,874558,1454539,453910
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
