,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,116.93,116.54,111.88,109.16,105.27,105.99,105.12,105.0,101.89,105.06,106.87,105.76,103.14,102.05,106.85,108.25,112.75,110.17,107.79,106.93,103.67,106.67,106.68,110.0,107.73,108.39,101.79,99.27,97.36,92.26,96.1,96.72,98.67,97.77,97.41,99.1,98.21,96.16,97.0,99.5,102.76,104.29,102.4,100.27,94.4,99.15,99.52,93.15,99.22,96.04,99.41,100.36,108.53,103.48,102.22,99.19,98.49,92.0,85.76,89.0,88.75,87.35,88.54,89.39,89.5,88.78,88.68,89.1,86.27,81.35,77.39,74.41,73.125,72.6,75.5,73.4,72.48,71.89,70.71,70.0,70.0,66.77,66.88,68.39,64.88,66.55,65.23,65.34,70.69,71.22,69.46,70.84,69.5,69.2,68.89,69.69,71.15,69.5,66.67,71.22
2. high,116.93,117.26,115.44,111.79,108.77,107.77,107.03,107.28,103.97,106.06,108.02,107.14,107.19,105.215,107.48,108.49,114.74,113.0799,110.75,107.1299,106.21,108.34,108.81,111.39,109.78,109.83,108.98,102.17,99.94,97.06,96.6925,97.5,99.48,97.77,99.5,99.1,100.2,98.45,97.31,100.21,104.72,105.5,102.9,103.22,99.51,99.8,99.69,98.07,100.98,97.93,99.59,100.8,109.375,110.03,103.4299,101.94,101.3825,97.98,91.84,89.72,90.28,88.99,89.24,91.15,91.24,90.84,89.15,89.83,89.42,84.77,81.94,78.67,73.78,73.72,76.2,75.29,73.61,72.71,71.54,71.38,70.26,68.96,67.0,68.39,67.03,66.55,67.98,65.6,70.69,72.96,72.22,71.115,70.99,69.69,69.2098,70.78,71.44,71.84,69.66,71.22
3. low,110.51,113.24,110.49,108.73,104.46,104.71,103.49,103.935,100.16,99.35,104.73,103.17,103.14,100.4,101.06,103.54,110.61,109.25,106.39,105.9,101.62,104.41,105.4,107.6,107.4,104.51,100.48,98.36,95.32,91.76,90.86,95.4061,97.23,95.21,96.27,95.34,97.36,95.7186,93.3383,95.75,98.53,102.4282,99.6684,97.08,94.1,94.06,97.13,90.91,94.23,95.63,95.92,96.03,99.57,100.55,99.39,98.705,97.85,91.25,85.76,86.46,87.3,84.03,81.67,88.66,88.44,87.54,84.71,86.01,86.234,79.44,77.21,73.43,66.4,70.07,72.96,72.8182,71.66,70.7118,68.83,69.22,68.66,66.31,65.52,65.75,64.32,63.24,65.19,61.185,67.59,68.9,68.83,69.53,69.04,67.99,66.36,68.42,67.95,69.02,66.67,66.68
4. close,111.0,117.25,115.02,111.55,107.69,104.89,105.99,103.94,103.38,101.47,108.01,106.44,106.51,101.63,101.22,107.74,110.64,112.75,110.63,106.79,106.04,105.27,105.6,108.85,108.63,107.85,108.68,100.24,96.98,96.27,92.93,96.68,97.56,97.01,97.2,96.72,99.09,97.95,96.68,96.06,99.54,103.06,102.27,101.33,98.35,94.6,99.52,97.85,94.27,97.11,98.23,99.61,100.27,109.6,102.57,101.54,99.57,97.58,91.4,88.0,88.91,88.24,85.2,89.11,89.4,90.0,87.76,88.0,89.17,84.74,81.37,78.56,72.65,73.0,73.16,74.88,73.51,72.05,71.51,71.35,69.62,68.93,66.92,67.09,66.79,63.98,66.63,64.06,67.7,69.77,72.09,70.68,70.61,69.28,67.81,69.93,68.39,71.61,69.5,68.25
5. adjusted close,111.0,117.25,115.02,111.55,107.69,104.89,105.99,103.94,103.38,101.47,108.01,106.44,106.51,101.63,101.22,107.74,110.64,112.75,110.63,106.79,106.04,105.27,105.6,108.85,108.63,107.85,108.68,100.24,96.98,96.27,92.93,96.68,97.56,97.01,97.2,96.72,99.09,97.95,96.68,96.06,99.54,103.06,102.27,101.33,98.35,94.6,99.52,97.85,94.27,97.11,98.23,99.61,100.27,109.6,102.57,101.54,99.57,97.58,91.4,88.0,88.91,88.24,85.2,89.11,89.4,90.0,87.76,88.0,89.17,84.74,81.37,78.56,72.65,73.0,73.16,74.88,73.51,72.05,71.51,71.35,69.62,68.93,66.92,67.09,66.79,63.98,66.63,64.06,67.7,69.77,72.09,70.68,70.61,69.28,67.81,69.93,68.39,71.61,69.5,68.25
6. volume,418496,292396,353585,256332,189723,159603,103107,134275,144399,264241,381882,145476,114257,176846,225989,181459,136951,143833,181539,163970,157529,209506,250182,249538,216373,225923,333926,368087,614324,221550,216506,150608,162185,96640,143212,115021,120660,126910,312101,278325,286624,146832,199024,457828,158006,167246,225837,205469,264357,475638,274738,497917,502272,433799,469446,310429,606994,314162,476802,258748,135320,195230,216308,184486,322249,316652,222559,399555,377168,253698,435448,245498,261013,193264,153973,105680,184984,157096,138993,79467,72091,92777,72491,97553,108027,169494,153615,182951,99121,132266,156296,176938,135450,146305,134781,146517,142072,115760,86953,130615
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
