,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,68.04,67.19,67.25,68.43,66.48,67.35,64.55,63.93,61.0,58.69,59.2,59.99,59.17,62.29,65.01,66.0,76.8,76.23,77.4,79.1,80.55,83.0,80.75,82.42,80.6,81.8,79.31,77.78,76.32,75.26,77.4,80.4,81.99,78.45,79.7,85.01,83.72,79.21,63.0,64.37,64.01,67.36,66.89,65.09,62.01,69.9,71.28,69.14,77.13,78.88,79.41,78.62,76.96,73.85,78.99,79.82,77.13,77.96,73.02,69.74,73.35,71.76,80.01,85.89,87.99,88.64,86.19,85.92,84.19,84.59,87.09,84.85,82.88,82.31,84.26,83.56,82.93,81.75,79.48,80.22,80.86,76.26,74.31,69.92,63.32,65.92,65.62,66.62,73.5,70.81,71.0,74.05,73.64,70.14,68.98,66.83,62.9,60.92,61.34,63.5
2. high,68.1,68.86,68.09,69.85,68.57,68.89,67.104,64.26,63.73,60.38,62.91,60.51,61.725,64.23,67.4365,69.5,76.8,79.33,77.45,79.938,81.88,83.12,84.73,83.09,84.3,82.679,81.705,81.555,83.2,76.5,77.895,80.4,84.25,81.23,81.45,86.27,85.9,83.755,82.0,65.39,65.8,67.95,68.47,66.88,65.435,69.9,71.86,71.36,77.53,79.25,80.21,80.41,80.55,80.56,78.99,79.82,79.12,79.66,77.99,73.47,74.5,74.09,80.1,87.05,90.35,88.88,89.4,86.84,86.7,87.429,90.0,87.33,85.5,84.38,85.25,85.22,84.5199,84.49,81.58,81.0,81.555,78.79,76.62,74.0,70.0,66.76,66.56,68.57,74.55,73.5,73.04,74.68,75.89,73.095,69.79,70.18,68.25,61.4,61.83,63.9899
3. low,66.68,66.17,66.3252,66.45,66.48,66.06,62.74,62.1,59.46,58.62,58.5,57.47,58.1,57.46,61.19,63.01,72.2,75.32,74.08,77.46,77.21,80.75,80.75,79.8,80.6,80.372,78.8186,77.78,76.0,73.0,73.71,75.39,80.19,77.02,77.11,80.755,82.47,78.5,63.0,61.92,63.16,64.16,65.45,64.01,60.0,62.53,68.72,67.62,70.23,74.98,77.96,76.82,75.72,73.1474,72.67,73.75,75.14,76.15,73.02,69.74,67.47,66.8012,70.15,80.56,85.005,86.85,85.46,83.21,83.28,82.02,86.55,84.25,81.285,81.375,81.834,82.99,81.29,80.9123,78.7501,78.0188,78.36,76.065,73.81,69.785,63.22,61.19,63.75,64.17,68.36,69.66,69.11,70.8575,72.84,68.76,67.43,66.39,61.74,58.93,60.58,61.12
4. close,67.23,68.02,66.96,66.85,67.85,66.21,67.06,64.0,63.12,60.19,60.89,58.32,60.79,58.33,61.73,66.78,73.39,78.21,75.22,77.67,78.89,82.28,82.14,82.38,82.03,81.3,81.38,79.26,77.67,75.92,75.34,78.0,80.33,80.75,77.75,80.88,84.72,83.72,78.21,62.32,64.97,64.19,65.99,65.41,64.56,62.56,70.23,70.5,70.31,76.33,79.12,78.54,77.16,78.74,75.19,74.57,77.85,77.63,76.3,72.58,67.62,73.81,71.67,81.22,86.58,87.83,86.88,84.4,86.31,85.01,88.71,85.32,84.18,83.98,83.42,83.64,83.91,83.33,81.14,79.59,79.18,78.58,76.15,73.78,68.87,62.26,65.91,64.42,68.67,72.99,70.5,71.84,73.67,72.95,68.61,69.98,66.47,59.32,60.89,62.11
5. adjusted close,67.23,68.02,66.96,66.85,67.85,66.21,67.06,64.0,63.12,60.19,60.89,58.32,60.79,58.33,61.73,66.78,73.39,78.21,75.22,77.67,78.89,82.28,82.14,82.38,82.03,81.3,81.38,79.26,77.67,75.92,75.34,78.0,80.33,80.75,77.75,80.88,84.72,83.72,78.21,62.32,64.97,64.19,65.99,65.41,64.56,62.56,70.23,70.5,70.31,76.33,79.12,78.54,77.16,78.74,75.19,74.57,77.85,77.63,76.3,72.58,67.62,73.81,71.67,81.22,86.58,87.83,86.88,84.4,86.31,85.01,88.71,85.32,84.18,83.98,83.42,83.64,83.91,83.33,81.14,79.59,79.18,78.58,76.15,73.78,68.87,62.26,65.91,64.42,68.67,72.99,70.5,71.84,73.67,72.95,68.61,69.98,66.47,59.32,60.89,62.11
6. volume,744298,217859,152894,317065,232672,299109,290832,215862,229393,230447,260661,355253,317003,494690,827179,899987,334445,147306,288894,94138,210064,157668,190286,160733,280867,94281,169825,186037,445847,323340,353866,583447,355125,357452,710476,378537,333847,965299,1555019,148838,147745,133640,232254,500994,321557,287160,167739,216628,222903,273931,253200,303397,214902,385932,319144,258048,219217,129142,208019,201788,289818,466351,463090,257055,656557,210278,291869,177711,147669,304986,208193,118158,109228,122430,178566,84268,161521,219277,108498,160410,328492,144994,162719,254457,644151,208920,175779,238631,182022,203727,161307,181343,438798,321575,182922,451864,625755,236015,116889,115698
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
