,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,17.95,17.16,17.1,17.05,16.0,16.25,15.33,15.87,15.4,15.5,15.68,14.97,14.09,13.98,14.35,13.43,15.5,15.88,15.41,16.52,16.56,17.8,17.34,18.78,19.29,20.66,18.02,17.52,19.436,12.7,13.78,14.85,15.03,15.82,16.47,15.95,17.03,17.12,18.09,19.24,18.8,19.6,19.8,18.81,17.77,18.8,20.05,18.93,23.45,24.94,25.9,24.0,28.1,27.0,32.17,29.42,26.96,26.53,27.5,25.11,28.59,29.17,29.15,33.0,34.2,33.91,31.3,33.05,31.71,29.81,34.89,37.06,36.53,38.6,40.11,38.55,40.0,42.96,40.9,44.0,37.46,37.45,29.0,27.76,28.02,27.94,27.51,28.32,28.75,28.9,28.43,28.71,27.95,25.75,26.49,27.24,26.3,25.0,22.15,22.06
2. high,23.0,17.59,18.355,17.36,17.26,16.64,16.5,15.94,16.32,15.8999,16.85,15.88,16.13,14.95,15.07,14.87,15.64,16.65,16.0459,16.65,17.65,17.87,18.34,19.35,20.34,21.69,21.3,18.87,19.55,16.84,13.94,14.98,15.73,15.9,16.939,16.74,17.17,17.86,18.2,19.3,19.55,19.66,20.26,19.43,18.5,19.59,20.47,19.77,23.63,25.2399,26.55,27.22,28.59,29.62,32.8699,31.95,29.49,29.15,27.6,26.16,28.8,29.335,30.2973,33.36,36.5,35.24,32.66,33.43,33.75,32.27,35.97,37.195,37.3,38.905,40.19,38.75,40.19,43.77,42.34,45.55,46.298,39.49,31.9,29.34,28.4499,29.3,28.3,29.15,29.82,30.37,29.29,29.74,29.94,27.23,26.75,27.3999,27.49,25.61,23.98,22.6
3. low,17.61,16.4,16.88,16.42,15.8,15.66,15.1298,15.21,15.35,14.93,15.4928,14.65,13.82,12.72,13.55,13.4,14.34,15.43,14.6,15.2,16.11,16.47,17.22,17.44,18.52,19.32,17.73,16.4801,16.0,12.4,12.45,13.5,14.56,14.66,15.55,15.85,15.8,16.94,16.83,17.805,18.68,18.35,18.4,18.15,16.76,17.84,17.67,18.4519,19.9,23.23,24.74,23.65,26.02,26.255,29.32,29.02,26.5601,24.51,25.0703,24.57,23.09,24.11,25.791,29.57,32.96,32.51,29.85,29.0,31.0,27.55,32.0,35.2517,34.66,36.45,38.66,36.11,36.6,38.17,39.54,40.62,37.1949,35.01,29.0,27.61,27.0,26.42,25.57,26.67,28.61,27.16,27.82,27.61,27.56,25.35,24.13,25.27,25.67,23.77,21.82,20.8
4. close,21.55,16.99,16.99,17.32,16.94,16.03,16.35,15.21,15.8,15.16,16.33,15.68,15.41,13.73,13.88,14.63,14.41,15.71,15.41,15.48,16.96,16.52,17.52,17.93,18.61,19.9,21.16,18.17,16.57,16.76,12.55,14.11,15.11,15.1,15.72,16.37,15.87,17.26,17.28,17.91,19.03,18.76,18.75,19.04,18.13,18.0,18.6,19.34,19.99,23.24,24.74,25.73,26.75,29.37,30.69,31.45,29.32,27.78,25.7,25.36,24.45,27.45,28.33,30.44,33.15,34.22,31.61,30.15,32.95,30.96,32.29,35.94,36.04,38.12,39.79,37.15,37.48,40.12,41.78,42.8,43.72,38.99,31.27,28.86,27.34,27.62,26.62,27.28,29.73,28.62,28.01,29.2,28.69,26.67,24.74,26.12,26.31,24.5,23.45,21.63
5. adjusted close,21.55,16.99,16.99,17.32,16.94,16.03,16.35,15.21,15.8,15.16,16.33,15.68,15.41,13.73,13.88,14.63,14.41,15.71,15.41,15.48,16.96,16.52,17.52,17.93,18.61,19.9,21.16,18.17,16.57,16.76,12.55,14.11,15.11,15.1,15.72,16.37,15.87,17.26,17.28,17.91,19.03,18.76,18.75,19.04,18.13,18.0,18.6,19.34,19.99,23.24,24.74,25.73,26.75,29.37,30.69,31.45,29.32,27.78,25.7,25.36,24.45,27.45,28.33,30.44,33.15,34.22,31.61,30.15,32.95,30.96,32.29,35.94,36.04,38.12,39.79,37.15,37.48,40.12,41.78,42.8,43.72,38.99,31.27,28.86,27.34,27.62,26.62,27.28,29.73,28.62,28.01,29.2,28.69,26.67,24.74,26.12,26.31,24.5,23.45,21.63
6. volume,55677131,8032853,10607922,10386981,11711758,8497092,9679011,8662052,10161557,12558683,13608866,10132275,21393158,22879820,14240367,18131295,16497388,25903451,28597915,22553791,33359608,20914050,11612891,19647098,25942576,42856787,54268686,66306001,121355209,91981900,26788740,20742651,15020583,14519859,13268864,11336765,15978514,10976645,22297640,11010361,8766840,10236376,13877468,12752533,14647504,16684165,23918644,23778572,21178221,13660824,12042388,65843288,16436684,24553194,11977163,10926114,12197737,22622849,13572728,13572550,19027456,11387724,19062097,5003911,4310089,4329403,4888340,5827335,3885107,7812350,6849002,3681058,5253454,4951754,4801283,3858220,6924281,5849961,6337607,6225462,16883011,21248772,5369059,4691042,2923359,5611121,4239275,5981850,3628644,5525432,3848372,6559166,8856651,6891977,5147229,4510032,6582784,6453859,6114418,4641810
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
