,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,481.86,490.62,473.95,475.53,481.75,485.0,480.0,476.08,453.68,440.9,450.5,448.48,450.97,445.69,447.41,450.84,459.24,465.0,452.48,462.28,455.61,461.0,454.38,461.79,458.36,460.0,458.0,450.0,450.0,445.87,448.32,444.22,448.0,437.64,432.48,426.0,416.03,420.0,415.09,410.0,407.86,400.8,401.63,387.14,375.51,388.64,368.23,364.25,373.95,377.87,381.73,368.77,370.97,367.98,376.18,365.0,361.05,361.8,355.05,350.28,355.46,364.22,376.94,387.27,384.13,378.0,367.16,369.02,367.44,356.53,372.08,378.55,387.37,392.51,401.35,393.0,390.04,398.26,389.0,379.0,375.84,373.0,370.0,360.0,347.0,346.76,341.7,346.0,354.08,365.15,361.78,365.0,353.14,354.28,340.54,335.0,333.37,343.36,338.91,341.17
2. high,485.02,490.62,482.378,480.1,481.97,486.2,485.91,480.87,474.37,451.97,450.66,451.53,452.65,450.7,448.745,454.33,466.97,466.21,458.56,462.49,459.77,462.83,461.35,461.98,461.81,460.61,460.97,458.33,454.48,450.0,450.42,447.37,448.0,449.29,436.22,436.8099,426.49,424.65,421.64,412.0,413.05,410.82,406.41,407.06,386.825,390.93,388.07,368.37,376.7799,381.19,384.58,381.23,375.69,377.45,377.5175,372.58,368.23,367.3,355.73,356.8,355.46,367.78,377.18,387.27,390.4,385.11,378.27,371.78,369.92,371.85,374.92,384.99,394.15,393.925,402.62,400.98,396.755,398.26,397.34,391.2343,379.6249,375.38,374.13,371.63,357.05,348.5,351.83,349.99,355.0,365.15,365.505,369.5081,365.15,355.995,350.66,342.58,337.27,344.87,346.095,347.17
3. low,479.71,470.775,472.4,469.02,475.8,477.57,477.45,471.48,452.66,436.43,445.93,443.22,446.5,442.5,440.24,436.18,454.555,458.3666,433.9163,459.42,453.415,457.5301,451.825,455.395,456.28,455.865,456.425,449.045,447.49,441.9614,444.755,440.76,440.81,437.305,428.76,426.0,414.5,415.0,412.78,405.04,406.0,400.221,394.02,384.73,374.95,375.75,367.3,357.51,367.9,371.485,378.075,366.185,358.68,363.3,368.42,362.8,359.49,359.0241,347.87,343.54,338.69,346.91,353.32,372.515,382.8,377.845,361.8,360.2835,359.17,350.0,358.84,375.46,372.7038,387.94,393.87,389.0756,390.04,386.08,385.25,377.26,373.39,364.66,368.55,359.91,347.0,338.6,340.13,333.68,348.18,344.03,359.4627,361.02,353.02,345.025,340.54,334.28,332.62,330.763,337.02,340.32
4. close,481.16,478.59,477.6,471.83,477.84,479.27,484.42,477.22,472.26,451.24,446.48,447.74,451.56,446.89,441.16,454.09,460.01,460.2,458.38,461.28,458.52,459.58,457.75,459.0,459.73,458.84,458.83,458.15,448.52,448.83,446.92,446.94,446.04,448.67,430.4,432.48,424.67,423.06,420.55,410.36,411.01,409.31,399.99,396.69,383.51,378.08,387.74,368.01,368.51,373.83,380.45,379.6,368.91,373.88,371.68,372.57,364.15,366.02,353.24,351.45,339.12,358.55,359.5,378.79,387.29,384.65,373.61,364.18,369.26,371.63,364.89,376.0,378.46,391.7,394.48,400.27,392.89,387.33,394.46,390.33,377.43,373.09,372.78,370.93,356.7,344.43,348.97,339.62,350.75,354.15,359.69,363.26,363.9,351.41,348.01,340.65,333.54,331.73,342.84,342.37
5. adjusted close,481.16,478.59,477.6,471.83,477.84,479.27,484.42,477.22,472.26,451.24,446.48,447.74,451.56,446.89,441.16,454.09,460.01,460.2,458.38,461.28,458.52,459.58,457.75,459.0,459.73,458.84,458.83,458.15,448.52,448.83,446.92,446.94,446.04,448.67,430.4,432.48,424.67,423.06,420.55,410.36,411.01,409.31,399.99,396.69,383.51,378.08,387.74,368.01,368.51,373.83,380.45,379.6,368.91,373.88,371.68,372.57,364.15,366.02,353.24,351.45,339.12,358.55,359.5,378.79,387.29,384.65,373.61,364.18,369.26,371.63,364.89,376.0,378.46,391.7,394.48,400.27,392.89,387.33,394.46,390.33,377.43,373.09,372.78,370.93,356.7,344.43,348.97,339.62,350.75,354.15,359.69,363.26,363.9,351.41,348.01,340.65,333.54,331.73,342.84,342.37
6. volume,327768,361004,182456,798818,452974,459598,309006,332359,532899,326712,277310,290470,418155,240243,362935,534644,291942,412400,495292,222693,524797,413884,352355,358163,302465,291686,350791,201671,313559,338967,262885,328710,261784,367900,700021,276594,361863,257071,297771,139236,184161,156673,240618,446774,200580,301268,323218,251399,276940,186036,212530,427126,313496,210863,121716,116623,188069,186815,278324,405591,556514,414585,547646,298059,262431,178076,314879,255455,210571,278028,647206,205231,371458,308685,183378,166670,129239,172427,451561,245355,245682,226028,333256,276620,222603,238888,164811,307995,229905,249388,187427,306668,311998,326451,319098,333088,533285,417148,200864,342261
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
