,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,67.23,66.09,66.27,65.72,64.19,65.67,64.78,65.72,64.87,65.12,67.37,66.41,66.37,63.46,64.49,64.68,67.46,67.77,68.55,68.62,68.3,68.69,67.57,69.0,68.02,67.51,67.61,65.3,65.45,63.18,64.58,64.5,66.0,65.13,63.87,64.5,65.59,64.32,62.56,63.09,62.56,63.71,62.56,62.52,61.26,61.54,61.55,59.88,61.05,62.26,64.3,65.04,64.26,63.14,62.86,64.06,64.29,63.33,62.88,63.25,62.0,61.05,61.22,61.36,62.8,62.61,61.65,64.48,63.17,60.92,57.0,55.26,55.79,55.31,56.49,55.94,56.08,55.61,53.0,51.84,50.0,48.33,47.89,48.9,45.99,47.35,48.4,47.15,49.08,47.46,47.47,48.85,46.98,47.71,48.36,48.84,49.01,47.98,45.81,46.5
2. high,67.23,67.0,66.51,66.54,65.03,66.03,65.685,65.72,64.87,65.28,67.4036,67.67,67.28,66.405,64.49,65.15,67.46,68.3,68.62,68.62,68.51,68.84,68.41,69.36,68.875,68.42,68.27,67.56,66.035,64.78,64.58,64.925,66.32,65.27,65.62,64.625,65.96,66.049,64.61,63.34,64.22,63.82,63.52,63.38,62.25,63.09,62.5,61.42,62.1,62.61,64.52,65.45,66.295,64.78,63.48,64.14,65.29,64.5,63.95,63.39,63.15,61.45,61.345,62.88,63.155,63.72,63.03,65.31,64.48,64.25,62.09,57.02,56.75,56.665,56.605,56.84,56.33,56.2,55.42,53.72,51.26,49.605,48.49,48.9,48.53,47.7,48.46,48.0,49.08,49.0,47.98,49.32,48.9,47.815,48.66,49.53,49.4199,49.31,47.9,46.95
3. low,65.75,65.33,65.08,65.565,63.95,63.69,64.2,64.27,63.83,64.13,66.07,65.41,66.07,63.46,62.86,64.06,65.69,67.19,67.01,67.78,67.44,67.36,67.4,67.7,67.935,67.42,66.92,65.085,64.93,62.61,62.58,62.97,64.9,64.16,63.835,63.38,64.33,63.46,62.35,62.055,62.09,62.565,62.3,61.69,61.04,60.76,60.67,58.93,60.38,59.99,62.135,62.51,63.55,62.99,62.16,62.79,63.86,62.71,62.88,62.08,61.6,59.46,59.011,61.04,60.6,62.09,61.11,61.74,62.64,60.09,56.6,55.26,54.72,54.83,54.86,55.58,54.34,55.32,52.7,51.37,49.58,48.09,47.7,47.5,45.94,45.6,46.74,46.54,47.83,46.98,47.08,48.155,46.98,46.67,47.05,48.45,48.23,47.79,45.77,45.93
4. close,66.46,66.57,65.41,66.12,64.78,63.75,65.5,64.61,64.82,65.0,66.17,67.49,67.18,66.0,63.37,64.87,65.73,67.32,68.16,68.29,68.37,68.43,67.89,68.41,68.5,68.09,66.92,67.14,65.04,64.73,63.43,64.38,64.97,65.07,64.58,64.02,64.81,65.98,64.35,62.32,63.11,63.05,63.21,62.37,61.96,60.9,62.25,61.01,60.43,60.37,63.02,64.52,64.1,64.37,63.14,63.57,64.98,64.08,63.33,62.49,62.63,61.37,59.87,61.45,60.64,63.43,61.55,62.0,63.97,63.06,61.56,56.59,55.15,56.18,55.94,56.52,56.03,55.88,55.29,53.55,51.25,49.48,48.35,48.09,48.35,45.6,47.08,47.83,48.14,48.59,47.89,48.18,48.85,46.92,47.19,49.04,48.49,49.21,47.87,46.27
5. adjusted close,66.46,66.57,65.41,66.12,64.78,63.75,65.5,64.61,64.82,65.0,66.17,67.49,67.18,66.0,63.37,64.87,65.73,67.32,68.16,68.29,68.37,68.43,67.89,68.41,68.5,68.09,66.92,67.14,65.04,64.73,63.43,64.38,64.97,65.07,64.58,64.02,64.81,65.98,64.35,62.32,63.11,63.05,63.21,62.37,61.96,60.9,62.25,61.01,60.43,60.37,63.02,64.52,64.1,64.37,63.14,63.57,64.98,64.08,63.33,62.49,62.529936092,61.2719491932,59.7743457421,61.3518213772,60.5431155137,63.3286579326,61.4516616073,61.9009426426,63.8677951749,62.9592490813,61.4616456303,56.4995861959,55.0618868829,56.0902412526,55.8506247004,56.4296980348,55.9404809075,55.7907205624,55.201663205,53.4644432018,51.1681179102,49.400945838,48.2727512382,48.01316664,48.2727512382,45.5271449113,47.0047803163,47.7535820419,48.0630867551,48.5123677904,47.8134861799,48.1030228471,48.7719523886,46.8450359482,47.1146045694,48.9616488257,48.4125275603,49.1313772168,47.7935181339,46.1960744528
6. volume,195512,204739,128015,167325,141943,243848,128757,148792,233348,251535,143095,158471,148420,193196,326051,183062,351038,294125,208355,194700,352753,329525,292846,151164,157289,240481,204873,227490,311652,174139,280936,196924,244916,117168,155808,174689,226179,408118,331272,223394,209421,307238,200705,323010,187353,352837,259444,192704,270586,265038,237120,1075238,507203,542084,237922,203600,264956,462126,193264,226882,237504,298998,363795,324377,428273,357788,341142,431380,445240,637923,792436,322658,337042,281773,275856,286125,435451,391382,353661,421482,280501,264024,192510,265282,348846,282195,308294,328773,236873,425687,243048,480914,508561,296855,319598,266389,255510,390753,360723,468582
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
