,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,221.33,223.54,221.88,222.38,218.04,212.07,202.17,207.0,202.59,193.8,202.5,205.0,200.28,208.2,215.3,205.89,229.62,240.09,235.21,237.5,238.83,246.6,244.24,257.358,253.0,256.96,248.27,243.39,246.46,243.11,247.59,250.22,263.24,262.85,274.13,267.48,258.19,255.89,248.83,237.51,230.49,231.62,231.26,218.41,204.49,212.0,209.32,204.6,224.3,226.39,225.24,227.19,242.8,235.0,252.26,243.52,232.0,234.97,231.61,215.37,217.71,221.27,228.76,249.0,251.9,238.11,226.32,244.87,243.11,247.55,271.85,275.12,265.49,274.37,277.12,265.15,262.0,259.77,256.58,245.08,238.0,233.53,228.5,225.19,215.81,224.97,208.72,204.01,217.09,225.0,219.0,227.0,230.12,231.07,233.63,233.9,228.95,228.51,231.61,244.35
2. high,224.8799,227.065,225.9,223.39,223.83,219.09,212.8,208.9,206.69,200.85,209.73,205.0,208.3,211.5,218.76,221.78,230.0,241.6994,235.35,239.14,240.19,249.4194,249.9599,259.88,258.97,260.81,256.97,247.5703,255.805,251.4817,253.0,253.3,263.44,268.4142,278.13,275.45,266.96,265.3,258.59,249.9,238.5,233.32,236.46,232.76,214.3,214.39,216.79,211.96,225.9,228.38,230.18,229.4,243.4,248.68,252.5,251.26,242.22,243.49,237.92,226.49,221.63,222.01,232.63,250.95,258.4899,241.7194,232.78,245.84,246.0,261.3,278.1,280.9391,272.79,274.47,283.1898,273.84,269.6651,263.15,262.57,264.2669,240.57,239.31,234.57,230.2199,223.01,225.9,222.58,209.3503,219.0,225.94,222.91,227.5,230.88,231.59,236.43,238.76,234.8213,229.3299,232.74,246.49
3. low,219.49,218.577,221.65,217.66,215.8,211.77,197.3,199.62,202.2,192.21,199.729,195.55,198.17,192.29,205.6,205.69,216.01,231.1793,216.7,229.8,228.6191,241.79,243.39,245.01,249.4,253.4,246.3,240.3401,242.71,240.3401,243.68,242.58,254.669,260.74,256.575,266.9,255.85,253.68,248.82,236.0,228.0801,224.1,227.57,218.41,202.83,202.93,203.96,202.1,212.155,221.49,221.74,219.52,222.56,232.75,238.67,239.6171,230.05,231.01,223.205,211.5,201.0,191.36,210.0,232.0064,246.47,232.1001,217.4,223.66,230.68,232.5,266.36,273.59,261.8525,260.76,272.3201,262.5312,258.5,252.75,250.55,244.0,235.27,231.07,221.88,221.99,213.44,212.58,206.56,197.7,208.71,209.75,217.71,218.2001,225.5,223.25,225.58,229.59,226.8,223.72,225.3,237.18
4. close,220.41,221.95,222.52,220.9,222.34,216.2,210.95,200.01,204.91,200.11,203.16,202.92,207.85,197.13,206.67,220.65,216.43,233.35,223.96,231.87,231.19,243.68,244.82,247.76,254.2,253.79,255.77,246.43,245.11,245.25,245.5,245.33,256.1,263.08,258.4,273.23,265.2,261.65,258.37,245.12,236.5,229.95,229.51,227.05,212.83,207.18,213.6,208.47,213.51,223.2,226.13,224.84,224.3,246.47,243.36,251.23,242.11,241.72,226.73,225.09,201.87,216.44,218.41,234.2,252.2,241.0,230.03,227.11,237.32,256.59,268.08,276.57,270.85,270.94,276.02,272.75,265.93,257.49,258.12,259.97,240.38,237.72,227.94,227.63,221.94,215.96,219.91,202.46,209.17,216.64,222.88,219.62,226.65,227.26,227.75,232.79,230.92,227.52,225.5,241.45
5. adjusted close,220.41,221.95,222.52,220.9,222.34,216.2,210.95,200.01,204.91,200.11,203.16,202.92,207.85,197.13,206.67,220.65,216.43,233.35,223.96,231.87,231.19,243.68,244.82,247.76,254.2,253.79,255.77,246.43,245.11,245.25,245.5,245.33,256.1,263.08,258.4,273.23,265.2,261.65,258.37,245.12,236.5,229.95,229.51,227.05,212.83,207.18,213.6,208.47,213.51,223.2,226.13,224.84,224.3,246.47,243.36,251.23,242.11,241.72,226.73,225.09,201.87,216.44,218.41,234.2,252.2,241.0,230.03,227.11,237.32,256.59,268.08,276.57,270.85,270.94,276.02,272.75,265.93,257.49,258.12,259.97,240.38,237.72,227.94,227.63,221.94,215.96,219.91,202.46,209.17,216.64,222.88,219.62,226.65,227.26,227.75,232.79,230.92,227.52,225.5,241.45
6. volume,7128522,6902884,6779787,8555693,11914389,14778974,13214987,9250344,8336519,16413293,10087957,12133751,11497776,21397114,11778333,13676089,13256919,14836327,14759100,3792871,9123591,5268790,6188255,6592836,6140714,6791542,8494373,8467380,12730803,9965195,12580005,10735492,8549254,8944424,12486381,10561683,9051274,14969047,15728207,17012173,8768483,7534968,9260798,14453736,9735707,9695810,9196199,12878863,9262534,5591488,6386095,10480756,12481349,10154044,7491649,8889573,8850054,11727987,12973062,14495532,13488132,24773606,18495966,12151695,17345760,8989220,14800035,15714320,26123119,18971868,9630581,7373362,7236412,11015498,9193550,6780809,10214068,8581649,10758233,17149920,5090772,8893436,5193375,6469855,7849340,9383862,12500800,10892749,10039511,11328134,6867511,10472442,6012419,6505627,7049176,6706528,7601353,8414034,14107525,9102059
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
