,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,23.02,23.19,23.0,22.01,21.58,21.42,21.06,20.84,20.75,20.1,20.52,19.73,18.82,19.14,20.0,17.2,19.28,20.3,21.02,21.81,21.94,23.01,23.18,23.87,23.67,24.17,23.69,22.89,22.94,21.65,21.96,22.15,22.86,24.01,25.35,23.19,24.52,23.46,23.2,23.0,23.55,23.78,23.95,22.5,21.36,22.48,22.63,21.2,23.3,24.0,24.89,24.01,24.73,24.52,26.75,27.35,25.74,25.95,25.03,23.38,23.77,24.36,24.85,24.99,25.0,25.19,24.2,25.82,26.71,25.96,29.96,27.02,24.99,27.99,30.02,33.36,35.79,38.15,36.9,37.22,32.61,32.58,32.39,34.1,35.33,36.61,39.54,32.97,35.14,34.46,25.85,26.42,27.29,26.81,26.26,25.45,25.71,26.34,24.61,25.7
2. high,24.84,23.3499,24.75,22.7,22.24,22.11,21.52,21.16,20.81,21.035,21.62,20.49,20.2,19.47,20.0,20.3,19.3,20.75,21.02,21.81,22.2,23.08,23.55,24.14,24.17,24.26,24.26,23.55,23.51,22.64,22.55,22.33,23.26,24.06,26.2,25.6585,24.55,24.35,23.6,23.55,23.61,24.45,23.95,23.85,22.09,22.5,23.05,22.8,23.485,24.105,24.92,24.57,25.18,25.73,27.1,27.47,26.92,26.84,26.24,24.74,24.58,24.68,25.56,25.1678,25.59,25.9,24.5,26.44,27.23,27.46,30.19,29.96,26.31,29.73,30.44,33.65,35.98,38.24,38.255,39.22,35.2,33.18,32.95,34.2,35.6199,38.01,42.0,45.0,36.87,39.58,32.65,26.68,27.3,27.54,28.0,25.62,27.4298,26.42,26.6,26.44
3. low,22.82,22.36,22.76,21.65,21.49,21.28,20.675,20.47,20.28,19.94,20.26,19.63,18.53,17.82,18.51,17.055,18.18,19.58,19.41,20.97,20.87,22.21,22.84,22.81,23.42,23.57,23.46,22.74,22.51,21.43,21.24,21.53,22.3,22.69,23.65,23.12,22.73,23.37,22.74,22.81,22.83,23.3401,22.73,22.38,20.86,21.39,21.76,21.05,21.75,23.1,23.86,23.39,23.78,24.3,25.23,26.31,25.18,25.58,24.27,23.1,22.4,20.18,23.05,23.43,24.26,24.62,22.7,23.15,25.75,23.9,27.536,26.9,24.5,27.0,27.3,31.34,32.61,35.0,36.13,35.89,31.75,31.05,31.38,30.5,32.58,34.66,33.1,32.25,34.32,29.56,25.82,25.3,25.7,26.0,25.46,24.37,25.13,25.51,24.31,24.7
4. close,24.45,23.06,22.95,22.7,22.12,21.48,21.22,20.75,20.61,20.67,21.24,20.46,20.08,18.37,18.89,20.21,18.47,19.75,20.09,21.15,21.64,22.3,23.04,23.37,23.85,23.88,24.11,23.41,22.86,22.63,21.78,21.94,22.47,23.15,23.7,25.42,23.34,24.04,23.41,22.9,23.27,23.44,23.07,23.29,22.04,21.73,22.58,22.58,21.88,23.26,24.22,24.32,23.98,25.21,25.61,26.79,26.92,26.73,24.75,24.26,22.52,23.95,24.73,23.59,24.48,24.81,23.9,23.96,26.39,26.75,28.0,29.0,25.17,27.08,27.84,31.91,33.11,35.7,38.17,36.05,34.05,32.05,31.76,31.02,33.96,35.18,35.66,39.0,35.37,36.23,32.58,25.98,26.34,26.62,25.64,24.92,25.5,26.18,25.93,25.2
5. adjusted close,24.45,23.06,22.95,22.7,22.12,21.48,21.22,20.75,20.61,20.67,21.24,20.46,20.08,18.37,18.89,20.21,18.47,19.75,20.09,21.15,21.64,22.3,23.04,23.37,23.85,23.88,24.11,23.41,22.86,22.63,21.78,21.94,22.47,23.15,23.7,25.42,23.34,24.04,23.41,22.9,23.27,23.44,23.07,23.29,22.04,21.73,22.58,22.58,21.88,23.26,24.22,24.32,23.98,25.21,25.61,26.79,26.92,26.73,24.75,24.26,22.52,23.95,24.73,23.59,24.48,24.81,23.9,23.96,26.39,26.75,28.0,29.0,25.17,27.08,27.84,31.91,33.11,35.7,38.17,36.05,34.05,32.05,31.76,31.02,33.96,35.18,35.66,39.0,35.37,36.23,32.58,25.98,26.34,26.62,25.64,24.92,25.5,26.18,25.93,25.2
6. volume,85924126,52695506,111845970,76230463,42958297,49890803,46596776,35372922,46302386,45314036,59672370,50039596,79409513,87811609,128281543,203230517,104670546,63725501,92201104,24303600,63429554,33934417,24717299,36770148,22068111,27678340,33667583,32169533,51346366,42641404,47123090,45753872,46627689,58849349,108793791,83913494,68620842,54082682,35905537,32766194,41933453,65374263,51788762,61458497,52039738,57647369,57916429,74592579,69271892,50169702,46208146,57915872,57523321,77081743,73615140,56548963,58721863,84788705,103212792,99586460,94432814,173468558,161611160,79046238,73996950,85059882,117847374,158112847,90095691,145289437,180782324,320063732,313175121,146909893,180294325,60925593,52094876,44790352,43848477,72610624,62375282,31657211,35311995,69014637,43460896,42030917,85250675,170758759,65869976,191345300,156844666,29891354,37459017,48675845,92285513,32908003,51216556,26688460,32608983,41313824
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
