,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,95.24,95.09,95.69,95.59,94.03,95.54,94.89,93.27,89.62,88.43,90.51,89.42,88.82,90.66,88.6,86.09,89.15,87.5,89.75,91.81,89.77,94.83,94.22,97.88,95.96,99.13,96.74,95.78,95.2,92.49,95.74,96.64,97.93,97.57,98.93,95.63,93.57,94.0,93.99,92.67,92.93,93.2,90.0,85.79,81.78,88.23,89.81,88.42,94.3,94.66,94.97,91.84,95.02,94.12,97.08,96.85,101.31,100.0,101.77,98.67,97.26,96.41,98.27,101.78,105.22,102.51,101.61,105.53,103.23,104.08,112.33,111.79,110.92,106.4,110.35,109.1,108.49,107.43,105.68,109.33,106.65,103.42,101.0,101.29,98.07,98.71,97.1,96.43,101.03,99.64,99.78,101.09,101.57,98.62,98.25,97.04,96.49,95.53,94.06,95.04
2. high,96.04,96.9995,98.01,95.94,96.01,96.45,96.09,94.5,92.13,89.63,92.41,90.335,90.71,93.24,89.49,92.11,89.855,94.99,90.22,93.08,90.335,95.37,97.14,97.88,97.97,99.13,99.8,97.09,97.46,95.59,96.9735,97.0,97.93,98.9994,99.74,99.23,95.545,94.2,95.81,93.44,94.97,93.2,92.535,89.28,85.02,88.6403,91.32,90.2199,94.3,96.11,96.375,94.38,95.05,98.26,97.63,97.62,101.31,102.98,104.0,100.71,99.485,98.44,100.33,102.06,105.45,104.61,103.65,107.34,107.69,104.76,112.59,114.68,114.2,108.32,110.35,109.81,111.15,110.0,107.37,110.2,109.255,106.93,103.89,101.83,101.46,99.0,99.84,97.61,101.03,101.31,101.97,102.14,102.33,100.74,99.74,99.6062,97.695,97.83,95.685,96.54
3. low,93.47,93.72,94.76,93.49,93.43,92.6,93.84,91.6,89.09,87.21,89.41,87.74,87.2,86.69,87.07,85.91,85.49,87.035,83.65,89.42,86.82,90.69,93.32,93.33,94.85,96.27,95.72,95.59,94.39,90.875,92.01,94.35,94.04,95.52,96.05,94.98,91.89,91.52,93.59,91.445,92.26,90.49,89.975,85.72,80.0,81.92,86.62,86.36,89.66,92.75,94.04,90.73,90.915,92.68,94.36,95.4,97.59,100.0,99.55,97.95,93.97,92.38,92.58,97.04,101.63,102.0,99.3,98.83,100.8,98.73,106.78,110.3601,106.59,105.45,106.19,107.42,108.22,106.4501,105.43,105.5,106.11,102.47,98.57,98.89,96.72,96.36,96.27,91.66,97.61,96.41,97.49,98.8401,99.84,97.74,95.46,96.95,96.08,94.36,92.97,94.8
4. close,94.79,95.44,94.9,95.44,95.95,93.03,95.3,93.57,92.1,88.51,90.51,89.9,90.55,87.36,89.03,90.99,88.9,90.33,86.14,90.5,88.31,90.96,94.0,95.8,97.1,97.06,98.98,95.99,94.95,94.62,92.83,95.83,97.47,97.93,96.18,98.63,94.64,93.98,94.85,92.66,93.45,93.17,92.29,88.26,84.56,82.51,89.45,89.36,89.84,93.33,94.86,93.63,91.09,96.81,95.86,96.16,98.11,102.73,99.56,99.98,94.59,97.66,95.5,98.47,102.12,104.38,101.15,100.45,105.97,102.91,107.17,114.68,111.12,108.12,107.91,108.59,109.47,107.14,106.3,105.88,108.33,106.65,102.91,100.08,101.25,97.47,98.86,95.9,98.22,100.28,99.4,100.89,100.59,100.57,97.11,98.13,96.78,96.82,94.53,95.34
5. adjusted close,94.79,95.44,94.9,95.44,95.95,93.03,95.3,93.57,92.1,88.51,90.51,89.9,90.55,87.36,89.03,90.99,88.9,90.33,86.14,90.5,88.31,90.96,94.0,95.8,97.1,97.06,98.98,95.99,94.95,94.62,92.83,95.83,97.47,97.93,96.18,98.63,94.64,93.98,94.85,92.66,93.45,93.17,92.29,88.26,84.56,82.51,89.45,89.36,89.84,93.33,94.86,93.63,91.09,96.81,95.86,96.16,98.11,102.73,99.56,99.98,94.59,97.66,95.5,98.47,102.12,104.38,101.15,100.45,105.97,102.91,107.17,114.68,111.12,108.12,107.91,108.59,109.47,107.14,106.3,105.88,108.33,106.65,102.91,100.08,101.25,97.47,98.86,95.9,98.22,100.28,99.4,100.89,100.59,100.57,97.11,98.13,96.78,96.82,94.53,95.34
6. volume,365848,261822,211711,161087,161422,188929,217881,265513,214066,208026,330094,344007,270974,415563,437315,306574,450166,491780,467659,443138,355420,239093,337874,249335,257381,604687,182764,187560,200865,190352,268116,330272,271431,462526,198702,255941,161923,150850,315184,318867,223375,222750,311399,317158,483498,519588,344529,428527,320914,278661,275492,808932,231054,394463,373539,392741,339409,365286,259498,519759,813348,777606,443348,421348,441841,383430,399459,526383,372163,564638,610421,710587,717709,359296,538784,200935,557781,415571,378817,322399,364419,413023,513453,395789,526796,207913,264483,381397,199446,357830,324643,323368,404909,463093,262034,319988,283760,437303,224461,604544
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
