,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,71.24,73.33,74.38,72.2,72.64,73.4,73.11,72.7,71.2,71.11,71.33,72.41,73.42,73.84,73.09,73.86,75.68,74.54,70.86,73.23,72.86,72.52,72.73,72.79,72.85,73.65,73.82,74.06,73.49,74.32,73.04,74.07,74.23,73.8,74.36,74.01,74.22,75.04,75.0,74.61,74.2,75.46,74.79,73.24,73.82,74.85,74.17,73.22,74.76,75.01,73.2,73.94,75.27,77.46,77.8,77.2,77.29,76.78,75.77,73.9,72.88,72.55,74.33,75.89,77.8,77.51,77.76,77.85,76.86,78.0,81.04,83.84,80.0,81.72,86.82,87.19,87.0,86.11,86.57,86.03,86.21,87.0,86.35,84.51,82.28,81.01,80.66,80.0,81.82,82.51,84.0,84.81,86.11,85.0,84.56,84.58,85.75,86.69,87.43,87.86
2. high,71.93,73.39,74.98,73.8,73.2,73.54,73.53,73.33,72.61,71.23,72.29,72.41,73.42,74.41,74.37,75.62,76.77,76.27,74.725,73.23,73.52,73.85,72.815,73.25,73.25,73.65,74.2,74.21,74.66,74.715,74.52,74.5,74.35,75.0775,74.645,74.64,74.745,75.18,75.36,75.49,75.02,75.46,75.5,74.95,73.82,74.85,74.98,74.54,75.14,75.87,75.11,74.25,75.27,78.0,78.37,77.845,77.48,77.915,76.425,76.4,74.27,73.04,74.74,76.1,78.49,78.71,78.585,78.71,78.65,78.0,81.3,84.57,83.55,82.33,87.29,87.78,87.25,87.06,86.95,87.03,87.29,87.3,87.35,86.55,84.08,82.2,82.2,81.2,81.82,82.51,84.0,85.56,86.65,86.085,85.46,85.38,85.9699,87.16,87.56,88.81
3. low,71.11,71.19,73.24,71.63,71.76,72.75,72.94,72.08,71.2,70.37,70.94,71.22,72.21,72.33,72.46,73.36,74.79,74.31,70.0,71.26,72.42,72.52,72.28,72.235,72.5,72.295,73.35,73.65,73.26,73.19,73.04,72.7,73.58,73.42,73.1,73.91,74.1,74.59,74.325,74.1,73.65,74.5,74.14,72.86,72.47,73.835,73.95,72.79,73.34,74.87,73.18,73.33,73.52,76.1,77.52,76.91,76.8501,76.66,75.21,73.89,72.59,70.17,71.42,74.49,75.78,77.36,76.54,77.15,76.3575,76.36,78.16,81.49,79.18,80.04,80.78,86.51,86.15,85.375,85.94,85.87,85.42,85.37,86.16,84.04,82.28,80.44,79.965,77.82,80.46,80.93,82.27,83.9,84.38,84.7,84.21,84.465,84.37,85.11,86.51,87.01
4. close,71.69,71.25,73.39,73.76,72.04,72.99,73.17,72.91,72.3,71.0,71.84,71.51,72.45,72.77,73.53,73.77,75.02,75.15,74.1,71.29,73.14,73.28,72.42,72.98,72.65,72.79,73.43,73.79,74.03,73.4,74.13,73.11,73.88,73.89,73.46,74.29,74.26,74.88,75.0,74.3,74.6,74.63,74.71,73.99,72.84,74.0,74.84,74.1,73.5,74.96,74.78,73.47,73.54,76.26,77.99,77.72,77.21,77.63,76.0,75.2,73.1,72.75,72.05,74.49,76.0,77.53,76.69,77.68,78.36,77.24,78.24,81.73,83.24,80.29,82.13,87.4,86.98,86.84,86.07,86.73,85.8,85.91,86.77,86.42,83.82,81.69,81.61,80.17,80.69,81.53,82.3,84.02,84.41,85.79,84.73,84.68,84.39,85.5,86.69,87.92
5. adjusted close,71.69,71.25,73.39,73.76,72.04,72.99,73.17,72.91,72.3,71.0,71.84,71.51,72.45,72.77,73.53,73.77,75.02,75.15,74.1,71.29,73.14,73.28,72.42,72.98,72.65,72.79,73.43,73.79,74.03,73.4,74.13,73.11,73.88,73.89,73.46,74.29,74.26,74.88,75.0,74.3,74.6,74.63,74.71,73.99,72.84,74.0,74.84,74.1,73.5,74.96,74.78,73.47,73.54,76.26,77.99,77.72,77.21,77.63,76.0,75.2,73.1,72.75,72.05,74.49,76.0,77.53,76.69,77.68,78.36,77.24,78.24,81.73,83.24,80.29,82.13,87.4,86.98,86.84,86.07,86.73,85.8,85.91,86.77,86.42,83.82,81.69,81.61,80.17,80.69,81.53,82.3,84.02,84.41,85.79,84.73,84.68,84.39,85.5,86.69,87.92
6. volume,707858,1229020,1586275,3010863,1100972,1366824,1296777,1114929,942787,713501,1073337,969512,903699,746331,1331424,1410738,1061567,1581286,1592670,1131100,1248209,723444,744519,479142,553465,818115,546424,874313,1169272,951667,1139681,745601,827688,1596420,888184,666674,650614,730602,1303951,589146,855247,783493,1046959,1357477,862907,536490,544354,723266,722255,1096298,1103470,1204538,1254759,801421,544345,517489,769446,870279,1080032,993055,1084536,1598855,1510302,1054752,951809,664548,1401211,896886,946217,1343575,823014,897191,1123954,1744381,1894441,500679,416379,712100,426475,686756,599409,479004,1295567,864629,956434,1175522,801623,840036,639203,690979,467603,728744,1404486,814883,669504,1053640,645919,492510,362570,693284
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
