,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,37.09,36.75,37.0,35.8,35.7,35.85,34.27,34.36,32.12,29.97,31.0,29.13,28.35,28.6,28.61,27.2,28.55,29.0,29.67,30.96,31.2,33.32,32.44,34.01,33.62,33.99,33.18,32.33,32.26,31.0,31.56,33.07,33.71,33.97,34.43,34.41,33.6,33.35,33.48,33.65,32.0,31.13,29.5,27.46,25.85,27.54,27.64,27.38,29.31,30.04,29.63,30.03,32.17,33.0,32.75,32.0,32.69,35.83,33.25,30.64,30.17,31.41,31.72,35.29,37.22,35.57,34.5,35.53,37.01,35.9,40.55,40.75,38.8,41.2,42.5,40.2,39.73,39.09,41.0,39.5,39.0,38.3,37.5,36.21,35.61,34.86,35.46,38.0,38.72,39.0,39.31,39.88,39.73,39.75,37.08,37.05,35.0,32.95,31.0,29.36
2. high,37.54,37.12,37.7,36.95,36.85,36.36,35.99,35.59,33.57,32.26,31.95,30.51,29.5932,29.59,29.43,29.6399,29.31,30.26,29.88,31.35,31.3663,33.47,33.73,34.09,34.13,34.4,34.3,33.675,33.2999,32.4399,31.8952,33.64,34.0,34.35,35.06,35.05,33.9929,34.07,33.73,33.98,33.66,32.19,30.86,28.87,27.305,27.54,28.1,27.91,29.4499,30.2772,30.74,30.38,32.99,33.85,33.59,33.4899,32.88,36.19,34.35,33.3,32.3,31.41,32.96,35.29,37.61,37.06,35.08,36.2549,37.2,36.86,40.98,43.72,40.78,41.27,43.64,42.13,40.1805,40.08,41.34,40.2,39.55,38.87,38.34,37.08,36.81,36.26,36.1991,38.0,39.4,39.2099,40.0075,40.12,40.08,40.11,39.7,38.16,38.76,35.07,32.8,31.61
3. low,36.5,35.35,36.08,34.5,35.7,35.11,34.0,33.25,31.92,29.89,30.37,28.58,28.0,27.46,27.86,26.0,27.2,28.73,27.39,29.94,29.91,31.4,32.44,32.185,33.36,33.61,32.84,32.28,31.92,30.89,30.32,31.32,32.76,33.41,32.86,34.1,32.41,32.9,32.47,32.51,31.6764,30.25,29.34,27.26,25.41,26.0601,25.8,26.36,27.75,29.1,29.63,28.66,30.2,31.45,32.49,31.8923,31.4,33.05,31.91,30.64,28.945,26.72,29.29,32.09,34.78,35.39,33.45,34.67,34.86,33.06,38.31,40.75,37.9037,38.9,40.55,39.2524,38.51,38.11,38.7,39.16,38.29,37.6,37.01,35.87,34.76,34.29,33.53,34.85,38.0901,37.35,38.85,39.28,38.9,38.9,37.08,36.408,34.98,32.37,30.86,29.25
4. close,36.86,37.0,36.78,36.84,36.1,35.86,35.63,34.63,33.05,32.15,31.28,30.46,29.41,28.15,28.5,29.3,28.58,28.79,28.51,30.24,30.76,31.72,33.32,33.44,33.73,33.97,34.17,33.21,32.13,31.82,31.27,31.66,33.54,33.86,33.42,34.51,33.83,33.9,33.3,33.08,33.46,32.13,30.81,28.58,27.28,26.16,27.39,27.66,28.13,29.44,29.95,29.5,30.32,33.03,33.34,32.7,32.17,33.94,31.92,32.83,29.67,30.71,30.56,32.29,35.13,36.97,34.63,35.03,36.05,36.54,38.52,41.42,40.48,40.2,40.98,41.49,38.75,39.73,38.87,40.0,39.08,38.64,38.13,36.7,35.46,35.37,35.32,35.0,38.31,38.35,38.97,39.68,39.57,39.7,38.63,37.14,36.48,34.98,32.08,31.58
5. adjusted close,36.86,37.0,36.78,36.84,36.1,35.86,35.63,34.63,33.05,32.15,31.28,30.46,29.41,28.15,28.5,29.3,28.58,28.79,28.51,30.24,30.76,31.72,33.32,33.44,33.73,33.97,34.17,33.21,32.13,31.82,31.27,31.66,33.54,33.86,33.42,34.51,33.83,33.9,33.3,33.08,33.46,32.13,30.81,28.58,27.28,26.16,27.39,27.66,28.13,29.44,29.95,29.5,30.32,33.03,33.34,32.7,32.17,33.94,31.92,32.83,29.67,30.71,30.56,32.29,35.13,36.97,34.63,35.03,36.05,36.54,38.52,41.42,40.48,40.2,40.98,41.49,38.75,39.73,38.87,40.0,39.08,38.64,38.13,36.7,35.46,35.37,35.32,35.0,38.31,38.35,38.97,39.68,39.57,39.7,38.63,37.14,36.48,34.98,32.08,31.58
6. volume,797722,639640,674861,2029400,679256,822883,898256,2163719,1013577,1325736,760926,1019492,1207415,1091912,1185122,1739183,1164490,680425,1729959,420414,657394,548198,588857,512842,421332,430728,758189,805798,617321,511193,699613,693475,1684102,719717,540372,877617,572867,606362,1000658,1046406,958430,1026103,1190557,1302838,1611178,1326501,1593400,1869695,1484035,1685335,1758213,5044214,2109433,2315911,1512408,2236736,1913791,2369607,1579603,1386869,1687828,2688557,1755132,1225817,898861,746762,1110081,898476,768560,1590778,823783,2580191,863964,864770,2233267,1507312,457476,790372,737981,883431,534202,974364,705854,714668,1071305,726495,968463,2082005,992929,1768839,1597828,986013,1617171,1971561,2027682,2265440,3978825,3166921,1734509,1845629
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
