,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,96.41,98.0,96.9,96.45,96.88,97.45,96.68,97.14,96.43,93.21,94.89,95.6,94.02,92.5,93.71,94.5,96.59,97.37,97.04,101.94,103.04,102.45,101.2,101.57,101.44,100.75,100.18,100.43,99.76,99.9,101.04,101.65,102.64,101.3,101.18,101.98,101.22,102.12,102.09,102.17,102.91,103.05,99.73,98.27,98.41,98.01,97.42,95.54,98.1,99.36,99.54,98.2,99.0,100.53,100.61,99.03,97.56,98.84,99.67,99.66,98.63,97.65,99.53,99.46,100.71,98.83,97.77,96.4,97.12,93.56,92.8,94.13,93.52,94.7,95.0,92.81,93.76,92.32,92.01,91.61,92.23,91.24,91.66,90.0,88.8,89.9,87.74,91.71,94.64,94.31,94.06,95.54,95.45,94.29,94.57,95.29,95.97,96.16,95.5,97.33
2. high,96.41,98.49,97.66,97.185,97.7,97.73,97.26,97.45,97.31,96.38,95.93,95.76,95.795,93.79,94.34,95.21,97.565,98.15,97.33,101.94,103.97,104.74,101.92,102.31,101.9,101.57,101.055,100.48,100.72,100.06,101.48,102.75,103.55,102.31,102.02,102.76,102.54,102.205,103.49,102.37,103.76,103.88,102.48,100.07,98.89,98.85,98.22,97.11,98.22,99.68,100.37,99.71,100.5,100.65,101.53,100.23,99.015,99.89,99.67,100.4397,99.58,98.8,99.87,100.7,101.52,101.14,99.62,98.07,97.69,97.63,94.42,94.96,94.66,94.81,95.68,94.86,94.13,94.27,92.44,92.46,92.23,92.31,92.98,91.67,89.72,90.34,90.21,91.91,94.86,96.39,94.46,95.59,96.03,94.61,94.93,95.55,96.33,96.51,96.79,97.575
3. low,95.4,96.45,96.67,96.06,96.135,96.42,96.45,94.955,96.06,92.83,94.3,94.475,93.7,92.08,92.12,93.8,95.82,95.83,92.91,94.8,101.53,101.99,100.3,100.72,99.3,100.32,99.54,99.5759,98.81,98.875,98.92,100.55,102.09,100.49,99.81,100.72,100.855,100.99,101.54,100.7,101.75,102.06,98.92,98.0,96.79,97.165,96.07,94.085,95.96,96.88,99.266,97.66,98.025,99.18,100.2,98.48,96.49,97.95,97.32,98.91,97.99,93.73,95.93,99.1,99.76,98.71,97.4828,96.27,96.68,92.37,92.8,93.68,93.2,93.47,94.26,92.81,92.93,92.01,91.37,91.3,91.02,91.0,90.67,89.56,88.21,87.14,87.05,86.06,93.07,93.65,93.6,94.16,94.0,92.55,93.0,94.27,94.725,95.195,95.05,95.03
4. close,95.74,96.52,97.54,96.59,96.35,96.47,96.93,95.83,96.88,96.14,94.92,94.71,95.43,93.4,92.17,94.67,95.96,96.64,96.88,96.98,103.53,103.41,101.47,102.08,101.23,101.5,100.09,99.85,99.74,99.59,99.61,101.21,102.1,102.07,100.48,100.93,102.14,101.52,102.36,101.71,102.41,103.19,102.0,98.72,98.5,98.38,98.22,96.94,96.09,97.55,99.65,99.24,98.45,99.66,100.81,100.22,98.97,98.38,97.89,99.07,98.7,98.56,96.62,99.77,100.06,100.61,97.63,96.75,96.88,97.49,93.68,93.78,93.79,94.5,94.85,94.44,93.35,93.17,92.0,92.03,91.33,91.88,91.18,91.19,89.39,88.03,89.2,86.59,93.22,94.58,94.03,94.2,95.12,93.58,93.62,94.57,95.12,95.67,96.31,96.06
5. adjusted close,95.74,96.52,97.54,96.59,96.35,96.47,96.93,95.83,96.88,96.14,94.92,94.71,95.43,93.1851751176,91.9580041819,94.4522540512,95.7392869838,96.4177229482,96.6571709357,96.7569409305,103.291875588,103.172151594,101.236613696,101.845210664,100.997165708,101.266544694,99.8597877679,99.6203397804,99.5105927862,99.360937794,99.380891793,100.977211709,101.865164663,101.835233664,100.248890748,100.697855724,101.905072661,101.286498693,102.124566649,101.476061683,102.174451647,102.952657606,101.765394668,98.4929388395,98.273444851,98.1537208573,97.9940888657,96.7170329326,95.868987977,97.3256299007,99.4207997909,99.0117428123,98.2235598536,99.4307767904,100.57813173,99.9894887611,98.7423638265,98.1537208573,97.6648478829,98.8421338212,98.4729848406,98.3333068479,96.3977689493,99.5405237846,99.8298567695,100.378591741,97.4054458965,96.5274699425,96.6571709357,97.2657679038,93.464531103,93.5643010978,93.5742780972,94.2826450601,94.6318400418,94.2227830633,93.1352901202,92.9557041296,91.7883951908,91.8183261892,90.9026312289,91.4500575639,90.7533331375,90.7632863436,88.9717092472,87.6180732188,88.7825983315,86.1848115417,92.7837871801,94.1374232084,93.5899968734,93.759201377,94.6748963373,93.1421025993,93.1819154237,94.1274700023,94.6748963373,95.2223226723,95.8593278622,95.6104977099
6. volume,367222,299466,381689,386769,489666,304609,256363,694967,338860,446829,313254,366045,409595,332472,240211,581779,285365,534396,520199,1268200,980385,1525000,684630,399002,271179,325037,715082,269410,198771,328335,529658,385419,430153,403177,476855,456607,665528,915044,325561,428127,899548,326888,573572,472934,401882,463313,289638,333593,338423,408266,258578,521353,400864,319664,341137,367710,375017,501103,504015,575420,468712,489958,1129968,672835,878921,731206,770733,446859,478305,866183,353107,311374,329714,345278,450552,353757,447728,876265,448505,900182,338787,528218,639748,1029636,590598,785604,402419,519470,903662,989484,212758,220553,292314,525484,471499,215201,290711,268946,202865,377793
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
