,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,38.36,38.34,38.06,36.91,36.41,36.28,36.28,36.1,34.68,32.63,34.03,33.36,32.97,32.68,32.94,32.59,35.67,35.18,34.83,35.79,35.36,36.07,37.72,39.43,39.04,40.0,38.12,37.02,37.33,34.99,36.54,37.61,37.77,37.0,35.89,35.81,35.27,35.42,35.28,35.16,36.38,37.32,34.87,33.18,32.08,32.99,32.43,31.11,34.62,35.72,37.62,36.41,38.27,37.47,37.15,35.62,35.42,34.65,33.43,32.96,33.78,34.21,36.08,38.51,41.01,39.97,39.66,42.63,42.16,39.98,38.81,36.65,36.21,38.06,37.72,36.85,35.6,33.21,33.22,33.21,33.29,34.5,32.69,33.06,31.92,33.67,32.91,32.83,34.3,35.5,35.15,36.83,37.1,36.66,36.65,37.24,37.72,38.28,36.11,38.04
2. high,38.91,38.94,38.4,38.44,37.09,37.08,36.6,36.17,35.85,34.63,34.7082,33.97,34.11,33.96,33.36,34.09,35.88,36.34,35.35,36.19,35.735,36.765,38.4,39.85,39.66,40.0,39.81,38.266,37.75,37.08,36.71,37.97,38.87,37.98,36.967,36.7,35.51,35.75,35.81,35.65,36.44,37.48,36.56,34.5,33.31,33.47,33.66,32.425,35.2099,36.01,38.0,37.0351,38.61,39.2,39.0499,36.83,36.34,36.92,34.1666,34.385,34.4719,34.25,36.4657,39.16,41.01,41.43,40.89,43.325,44.05,40.12,42.52,38.64,37.02,38.2356,38.5599,37.19,36.83,35.36,33.225,34.0,34.04,35.92,32.69,33.32,32.72,33.78,34.0,33.4,34.34,35.81,35.865,36.83,38.0121,37.7033,37.0,38.0,37.76,38.4,38.08,38.71
3. low,38.06,37.86,37.69,36.77,36.3,36.14,35.55,35.26,34.595,32.6011,33.6204,32.56,32.57,32.05,31.76,32.4,33.15,34.99,33.7,34.93,34.82,35.615,35.82,36.56,37.87,38.94,38.12,36.75,36.51,34.99,34.33,35.67,37.36,36.7181,35.8,34.82,34.39,34.57,34.745,34.5,35.11,36.04,34.6,33.18,31.8,31.86,32.2,30.47,32.15,33.3201,35.28,35.5,36.17,36.65,36.84,34.898,34.9,34.4101,32.78,32.55,31.25,31.47,32.51,36.31,38.5901,39.4,38.155,38.75,41.02,35.03,38.79,36.59,35.81,35.76,37.2,35.81,35.19,31.9313,32.07,32.25,31.82,32.08,30.62,32.13,31.22,31.38,32.23,31.26,33.285,33.82,34.4,35.21,35.5465,36.6,35.74,36.96,36.49,36.9,35.94,36.95
4. close,38.33,38.52,38.02,37.89,37.04,36.34,36.08,35.81,35.8,34.42,33.69,33.81,33.93,32.61,31.96,33.91,33.73,36.32,34.54,35.15,35.21,35.94,35.99,38.68,38.44,39.37,39.63,38.12,36.53,37.06,35.08,36.79,38.3,37.55,36.56,35.85,35.48,35.58,35.81,34.8,35.38,36.38,36.55,34.08,32.74,32.19,33.66,32.18,32.19,33.82,36.11,36.7,36.25,38.88,38.31,36.79,35.86,36.61,33.39,33.16,31.62,33.98,33.44,36.58,38.62,41.1,39.77,39.12,43.26,40.0,40.97,38.33,36.2,36.96,38.25,37.09,36.83,34.69,32.86,33.26,32.02,32.79,30.79,32.71,32.48,31.39,33.66,32.28,33.75,34.3,35.47,35.66,36.37,37.12,35.82,37.44,36.94,37.46,37.82,37.25
5. adjusted close,38.33,38.52,38.02,37.89,37.04,36.34,36.08,35.81,35.8,34.42,33.69,33.81,33.93,32.61,31.96,33.91,33.73,36.32,34.54,35.15,35.21,35.94,35.99,38.68,38.44,39.37,39.63,38.12,36.53,37.06,35.08,36.79,38.3,37.55,36.56,35.85,35.48,35.58,35.81,34.8,35.38,36.38,36.55,34.08,32.74,32.19,33.66,32.18,32.19,33.82,36.11,36.7,36.25,38.88,38.31,36.79,35.86,36.61,33.39,33.16,31.62,33.98,33.44,36.58,38.62,41.1,39.77,39.12,43.26,40.0,40.97,38.33,36.2,36.96,38.25,37.09,36.83,34.69,32.86,33.26,32.02,32.79,30.79,32.71,32.48,31.39,33.66,32.28,33.75,34.3,35.47,35.66,36.37,37.12,35.82,37.44,36.94,37.46,37.82,37.25
6. volume,277319,382732,284179,362263,358346,616115,462040,364698,351009,307532,197071,311878,308625,517014,704336,408040,794415,439830,636074,231444,473616,687953,699525,799494,520959,375347,511287,447699,373044,264500,664756,482685,391570,451033,665707,582708,310967,380648,520067,387668,426245,567590,781419,525818,330328,510305,408844,540419,559099,520031,537970,961480,426716,433549,846973,447240,663871,821258,526864,777691,681290,1187261,1518771,1081618,717174,1268308,946544,1297939,1483556,1924622,2441701,825813,475039,615480,830621,475204,1130940,2371743,768085,1066423,836336,1534733,999711,419523,548065,491031,562132,642980,440391,401205,503662,383841,546145,595031,501505,519278,359145,655591,633184,425108
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
