,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,46.45,45.76,45.79,45.83,45.01,45.29,44.99,44.88,44.83,45.4,46.32,45.83,45.78,43.49,45.06,46.75,46.87,46.57,47.28,46.18,44.74,44.49,43.55,44.23,44.37,44.63,44.53,43.7,44.75,42.48,42.43,43.34,42.61,43.06,42.29,42.68,42.28,42.84,42.57,43.48,43.38,42.86,42.02,42.03,40.62,40.56,39.74,37.58,39.33,40.13,41.43,42.07,41.13,39.84,40.88,41.44,41.15,41.05,39.6,41.12,40.42,39.15,40.34,40.34,41.32,40.44,40.4,41.54,42.43,41.42,39.36,39.3,38.72,38.64,37.99,37.69,39.02,37.71,37.87,37.35,37.64,36.05,35.79,35.68,34.26,35.29,37.97,34.36,34.39,33.61,32.83,33.62,33.36,35.08,33.93,32.83,32.73,31.97,30.77,32.76
2. high,46.79,46.62,45.85,45.93,45.56,45.9,45.465,45.525,44.99,45.4,46.9108,46.71,46.21,45.6,45.07,46.94,48.38,47.21,47.8,47.32,46.23,45.14,44.09,44.68,44.58,44.63,45.55,44.89,44.7699,43.79,42.755,43.64,43.88,43.06,43.03,42.8,42.64,43.21,43.05,43.94,43.915,43.44,42.6,42.65,42.09,41.46,40.93,39.505,40.37,40.8,41.53,42.25,42.93,41.26,41.12,41.88,42.37,41.14,41.1728,41.3261,41.43,40.08,41.12,40.82,41.32,41.44,41.07,42.11,42.98,42.57,41.6,39.725,39.4588,39.26,39.02,38.21,40.13,39.31,37.97,38.36,38.25,37.57,36.4,36.0,35.27,35.94,38.5,37.72,35.22,33.89,34.05,33.63,33.61,35.25,34.99,35.34,32.89,32.82,31.99,32.76
3. low,46.15,45.6,45.29,45.355,44.7,44.74,44.33,44.56,44.355,44.01,45.82,45.32,45.25,43.49,42.97,44.91,46.87,45.93,45.66,46.18,44.74,43.84,43.395,43.66,43.51,43.8902,44.01,43.7,43.35,42.3673,41.57,42.36,42.35,41.91,42.29,41.96,41.51,42.05,42.09,41.79,43.1,42.21,41.805,41.74,40.565,40.16,38.99,37.37,38.02,38.94,40.08,40.92,41.0,39.84,39.71,40.19,40.89,40.42,39.26,39.505,39.88,37.85,38.08,39.92,40.06,40.07,39.48,40.55,41.51,40.83,39.065,38.85,38.3,38.5,37.73,37.3,37.855,36.89,36.96,37.35,35.0366,35.93,35.58,34.44,33.36,33.79,34.92,33.93,33.72,32.6,32.8094,32.72,33.01,32.935,33.305,32.49,31.83,31.87,30.77,31.1
4. close,46.45,46.57,45.56,45.57,45.45,45.01,45.3,44.91,44.97,44.97,46.0,46.4,45.96,45.47,43.23,45.07,47.43,46.64,46.82,47.16,46.16,44.92,44.02,44.03,43.94,44.23,44.06,44.47,43.68,43.61,42.34,42.45,43.6,42.04,42.58,42.45,42.63,42.3,42.82,42.38,43.46,43.43,42.34,41.96,42.01,40.73,40.93,39.17,38.04,39.12,40.72,41.74,41.9,41.26,39.92,40.98,41.58,41.0,40.95,39.61,40.93,39.91,38.43,40.26,40.29,41.27,39.53,40.58,41.51,42.0,41.44,39.44,39.1,38.82,38.92,37.84,38.24,39.15,37.57,37.92,37.28,37.24,36.04,35.51,35.26,33.89,35.03,37.49,35.0,33.84,33.99,33.22,33.39,33.14,34.76,34.48,32.49,32.67,31.92,31.24
5. adjusted close,46.45,46.57,45.56,45.57,45.45,45.01,45.3,44.91,44.671592568,44.671592568,45.6947577969,46.0921035169,45.655023225,45.168274718,42.9431386861,44.770928998,47.1152687459,46.3305109489,46.5093165229,46.8470603849,45.8536960849,44.621924353,43.7278964831,43.7378301261,43.6484273391,43.9365029861,43.7676310551,44.174910418,43.3901526211,43.3206171201,42.0590444592,42.1683145322,43.3106834771,41.7610351692,42.2974518912,42.1683145322,42.3471201062,42.0193098872,42.5358593232,42.0987790312,43.1716124751,43.1418115461,42.0590444592,41.6815660252,41.7312342402,40.4597279363,40.6584007963,38.9100796284,37.7875779695,38.8604114134,40.4497942933,41.4630258792,41.6219641672,40.9862110153,39.6551028534,40.7080690113,41.3040875912,40.7279362973,40.6782680823,39.3471599204,40.6584007963,39.6451692104,38.1749900464,39.9928467153,40.0226476443,40.9961446583,39.2676907764,40.3107232913,41.2345520902,41.7213005972,41.1650165893,39.1782879894,38.8405441274,38.5624021234,38.6617385534,37.5889051095,37.6874601832,38.5843113539,37.0271411894,37.3720839473,36.7413314757,36.7019094462,35.5192485618,34.9969066712,34.7505189869,33.4003144772,34.5238423174,36.9482971304,34.4942757953,33.3510369404,33.4988695509,32.7399954834,32.9075391087,32.6611514244,34.2577436184,33.981789412,32.0205434454,32.1979425781,31.4587795253,30.7886050241
6. volume,527468,237271,134759,203139,153792,360153,131420,289520,307278,243899,244982,182225,147175,324739,294971,267876,389128,150945,435824,281400,273053,319989,343491,102594,266941,186967,196661,235850,265533,185490,182574,210104,390208,98918,102132,208027,97313,130436,283977,152943,220306,190463,218212,376847,364422,276230,208985,188100,253679,262831,238972,611843,244881,197110,186744,218693,234646,224132,262080,234853,517984,401184,445848,330850,229724,241984,295786,237491,264151,315128,330624,176575,229233,163895,294887,140541,341050,392253,348231,308932,946793,485170,285087,285802,317781,354818,474786,648728,536973,471319,245502,344620,170725,395760,389525,535956,231712,333632,273307,578189
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
