,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,47.23,46.99,48.34,46.2,45.57,45.92,45.0,44.0,43.4,42.44,42.69,42.38,40.53,41.93,45.0,41.8,42.18,41.74,47.33,61.33,60.82,63.87,64.7,68.0,66.68,71.1,69.63,67.55,67.9,65.25,66.46,69.54,71.0,71.86,70.7,69.55,66.54,68.0,68.53,70.51,69.43,70.6,69.86,67.0,63.69,65.32,65.87,62.91,70.21,72.03,71.52,70.53,73.69,72.0,77.37,75.86,73.2,72.59,70.0,65.97,66.44,66.21,66.03,69.35,75.75,75.55,72.56,75.77,77.01,72.01,79.31,82.71,86.7,97.88,103.81,102.47,110.6,118.5,111.4,114.3,111.29,112.89,107.55,109.98,109.88,109.0,110.47,106.47,104.55,104.28,101.97,103.54,98.11,90.3,91.5,91.07,90.6,85.59,87.0,88.5
2. high,48.87,47.81,49.51,48.71,48.33,46.45,46.52,45.4,44.23,43.43,44.53,43.705,42.79,43.3,45.49,46.92,44.22,44.45,48.5,61.33,61.03,63.99,66.6,68.0,68.55,72.08,71.2825,69.29,69.1,67.37,68.01,71.35,71.63,72.53,75.15,70.59,69.08,68.01,69.809,70.75,71.29,70.98,71.68,69.84,65.65,66.32,66.9,66.0,70.73,72.53,73.1999,72.11,73.95,76.04,78.08,77.1,75.34,75.73,72.5,69.77,67.6,66.5,69.34,71.2999,76.0983,77.48,74.2992,77.3893,77.27,78.07,79.95,83.36,87.68,97.98,105.5,103.3,112.0,119.95,119.74,116.71,115.04,113.84,112.82,111.89,111.38,111.68,113.0,122.75,110.72,111.0,104.46,106.9,99.6699,97.07,94.95,92.6964,92.49,89.93,88.23,90.1
3. low,46.32,45.6,47.03,45.36,45.12,44.93,44.6,43.13,42.69,41.98,41.95,41.14,40.05,39.4738,41.39,40.73,40.21,41.16,41.41,57.71,57.34,60.85,63.56,63.93,66.31,70.0,68.85,67.41,66.51,64.72,64.7,66.3412,68.1,69.41,70.27,67.71,66.06,65.86,67.75,67.39,68.5,67.9,68.92,66.8736,62.32,62.92,62.76,62.35,64.5,69.99,70.96,68.91,70.08,71.4,72.26,74.36,71.66,71.81,67.81,65.7314,61.8,58.21,62.28,66.03,70.87,74.02,70.7001,71.21,74.2,68.75,76.15,80.0,80.0,92.18,96.21,99.31,106.93,109.0527,110.3457,111.08,108.53,110.02,106.59,104.6,105.56,106.82,105.0,105.64,104.39,99.6611,99.63,100.08,93.56,89.0417,87.7701,89.81,89.109,85.15,84.5,86.6
4. close,48.77,47.29,47.19,48.23,47.27,45.21,45.73,44.87,43.78,43.1,43.71,42.29,42.6,39.98,41.45,46.35,42.22,41.88,42.31,58.06,59.29,61.72,63.87,65.05,67.78,70.73,71.12,68.92,66.89,66.63,66.46,66.66,70.03,71.01,71.92,70.16,68.92,67.86,68.75,67.55,70.45,68.85,70.31,67.28,65.26,64.11,66.16,65.44,64.5,70.78,71.52,70.8,70.33,75.29,74.16,76.56,75.16,75.44,68.99,69.0,62.05,64.84,65.49,68.01,70.9,77.25,73.58,72.19,75.76,77.91,76.39,80.68,80.2,94.85,97.5,102.06,108.26,109.51,117.86,111.65,113.15,111.67,109.83,106.3,109.67,109.35,109.54,108.98,106.99,105.21,103.28,104.13,97.55,95.31,88.21,91.12,90.59,89.62,85.09,88.22
5. adjusted close,48.77,47.29,47.19,48.23,47.27,45.21,45.73,44.87,43.78,43.1,43.71,42.29,42.6,39.98,41.45,46.35,42.22,41.88,42.31,58.06,59.29,61.72,63.87,65.05,67.78,70.73,71.12,68.92,66.89,66.63,66.46,66.66,70.03,71.01,71.92,70.16,68.92,67.86,68.75,67.55,70.45,68.85,70.31,67.28,65.26,64.11,66.16,65.44,64.5,70.78,71.52,70.8,70.33,75.29,74.16,76.56,75.16,75.44,68.99,69.0,62.05,64.84,65.49,68.01,70.9,77.25,73.58,72.19,75.76,77.91,76.39,80.68,80.2,94.85,97.5,102.06,108.26,109.51,117.86,111.65,113.15,111.67,109.83,106.3,109.67,109.35,109.54,108.98,106.99,105.21,103.28,104.13,97.55,95.31,88.21,91.12,90.59,89.62,85.09,88.22
6. volume,3795285,3435218,3322343,3393773,3977505,2303042,3126454,3630230,2790300,3449963,3758171,2973911,4723860,6841376,7313906,10515011,9420576,12869260,32319576,5230800,4430521,4283819,2977741,3901996,4396169,2063622,2318509,2652492,2443533,1929119,2477106,3043211,2933942,3577541,5785641,2678905,3345154,2567974,2285584,2431313,2614563,2466375,3133979,3262810,2794811,3225982,2573553,3889516,5881509,5958457,2048995,3678506,3033660,2704653,3358387,2917946,3423877,5255806,4179088,5442686,5634042,7989165,7918170,8502497,7861239,3282909,4040805,4476807,5049183,8653894,7661909,8786880,20661049,6250592,4890117,5811059,2473147,4860100,3363499,2501555,2057001,2033352,2972074,2729285,2822901,3499369,4457013,10465486,7377990,6501277,6656149,13010752,5124879,5248158,3399160,2549275,2759600,3162536,3270748,3418007
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
