,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,54.17,54.06,53.72,53.54,53.15,53.8,54.01,54.18,53.78,53.84,54.74,54.13,53.87,53.13,54.07,54.07,54.66,53.8,54.99,54.2,53.99,54.1,54.19,54.37,53.5,53.48,53.34,52.43,52.41,51.66,52.06,52.38,52.19,51.97,51.97,51.64,51.37,51.07,51.08,51.1,51.11,51.27,50.61,50.68,50.4,50.61,50.87,50.48,50.9,51.28,51.51,50.88,51.39,51.6,51.4,51.73,51.56,51.64,51.15,50.52,50.11,49.53,50.09,50.21,48.8,48.93,49.3,50.78,49.82,50.34,49.69,48.93,48.24,48.26,49.0,48.95,48.62,48.81,47.89,47.88,48.0,47.44,47.72,47.27,46.64,46.86,46.4,46.53,47.55,47.59,48.06,48.86,48.49,47.4,46.74,47.37,47.57,47.33,47.21,47.86
2. high,54.33,54.94,54.1,54.08,53.27,53.86,54.36,54.6,53.94,54.2,54.74,54.63,54.38,53.72,54.07,54.31,55.07,54.56,55.0,54.8,54.26,54.48,54.23,54.59,53.944,53.54,53.8,53.18,52.41,52.63,52.35,52.61,52.39,52.12,52.0,52.01,52.055,51.39,51.19,51.22,51.44,51.51,51.08,51.11,50.84,51.0,50.92,50.73,51.31,51.33,51.69,51.8878,52.15,51.71,51.554,51.87,51.83,51.99,51.52,51.17,51.11,50.1288,50.37,50.31,50.415,49.44,49.41,51.22,51.0,50.39,50.275,49.87,48.8,48.76,49.12,49.21,50.43,48.81,48.54,48.05,48.0,47.95,47.72,48.0,46.94,47.03,47.12,46.67,47.77,47.59,48.16,49.05,48.7394,48.79,47.05,47.69,47.92,47.975,47.49,48.46
3. low,53.83,53.93,53.57,53.35,52.5,53.145,53.7808,53.83,53.47,53.0,54.34,53.92,53.77,53.13,53.14,53.62,54.48,53.5,53.44,54.2,53.56,54.02,53.79,53.98,53.42,53.03,53.11,52.35,51.8,51.66,51.52,52.1,51.98,51.33,51.51,51.52,51.045,51.07,50.75,50.84,50.9,51.2284,50.15,50.53,50.36,50.3914,50.43,49.97,50.64,50.6301,51.26,50.8,51.0701,51.05,51.02,50.96,51.45,51.29,51.05,50.52,49.77,49.24,48.72,49.51,48.8,48.66,48.05,49.87,49.49,49.28,49.53,48.7,48.04,48.23,48.43,48.53,48.62,48.1,47.85,47.6954,47.42,47.33,47.21,47.14,46.25,45.84,45.95,45.92,47.1,47.04,47.63,48.29,48.07,47.4,46.451,47.045,47.29,47.18,47.04,47.37
4. close,54.1,54.03,53.86,53.73,53.13,53.22,54.34,54.0,53.82,53.73,54.54,54.58,54.24,53.47,53.23,53.86,54.48,54.52,54.34,54.71,54.0,54.09,53.94,54.21,53.77,53.48,53.31,53.11,52.32,52.63,51.83,52.41,52.26,51.67,51.75,51.96,51.83,51.37,51.16,51.16,51.1,51.3,51.04,50.55,50.7,50.75,50.9,50.5,50.7,50.74,51.43,51.73,51.1,51.42,51.47,51.44,51.72,51.56,51.37,50.86,50.56,49.85,49.26,49.98,50.1,48.72,48.06,49.97,50.68,49.74,50.16,49.85,48.71,48.48,48.62,48.81,49.16,48.5,48.49,48.02,47.72,47.57,47.49,47.76,46.72,46.26,46.68,46.07,47.37,47.43,47.73,48.45,48.71,48.09,46.73,47.17,47.7,47.69,47.19,47.8
5. adjusted close,54.1,54.03,53.86,53.73,53.13,53.22,53.8773552918,53.540250014,53.3617825139,53.2725487639,54.0756525141,54.1153119586,53.7782066807,53.0147623749,52.7768057082,53.4014419584,54.0161633474,54.0558227919,53.8773552918,54.244205153,53.540250014,53.629483764,53.4807608473,53.7484620974,53.3122082084,53.0246772361,52.8561245971,52.6578273749,51.8745533469,52.1819140414,51.3887251523,51.9637870969,51.8150641802,51.2300873745,51.3094062634,51.5176183468,51.3887251523,50.9326415411,50.7244294577,50.7244294577,50.664940291,50.8632375133,50.6054511243,50.1196229297,50.2683458465,50.317920152,50.4666430687,50.0700486242,50.2683458465,50.3080052909,50.9921307078,51.2895765412,50.664940291,50.9822158466,51.0317901522,51.0020455689,51.27966168,51.1210239022,50.9326415411,50.4269836243,50.1295377909,49.4255826518,48.8406058461,49.5544758463,49.6734541796,48.3052033459,47.6508225124,49.0981215528,49.795733446,48.8721346015,49.2848064256,48.9802153173,47.8601060804,47.6341191291,47.7716764038,47.9583612766,48.3022544634,47.6537701683,47.6439446487,47.1821452265,46.8873796378,46.7399968434,46.6613926865,46.9266817163,45.9048276755,45.4528537729,45.8655255971,45.2661689001,46.543486451,46.6024395687,46.8972051574,47.6046425702,47.8601060804,47.2509238638,45.9146531952,46.3469760586,46.8677285985,46.8579030789,46.3666270978,46.9659837948
6. volume,737749,610263,687073,680658,536329,1756637,230625,2749896,473774,580528,453026,376002,463843,839286,502933,794911,406030,359733,533084,377900,300914,366438,484305,373595,458600,318233,377215,488413,605272,425023,700410,374673,337206,256243,352817,487920,598019,602073,342237,312291,322015,681247,379293,531811,360152,740215,487738,555573,517630,515850,309630,512641,426897,405662,366400,285758,303583,278735,423799,385175,506225,671674,907190,386036,1025429,562425,631374,1382902,2963772,552946,506002,552652,323092,364557,776478,401521,1457073,420645,371433,255421,311931,726522,331711,371694,357600,653869,561968,824162,332875,462182,309767,310292,345546,563368,313824,447921,322044,294893,286148,327251
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.4570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
