,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,79.7,79.58,78.95,79.5,78.59,79.615,79.49,79.19,78.95,77.81,78.99,78.88,78.12,77.53,77.57,79.75,78.77,79.81,79.18,78.97,77.07,76.28,75.56,75.38,75.16,74.39,74.97,74.29,76.11,78.79,78.7,78.81,78.31,77.0,77.04,76.16,75.25,75.35,74.27,73.6,73.62,72.19,70.46,70.7,70.83,70.21,68.57,66.96,67.11,66.33,66.22,66.79,66.47,66.8,68.0,66.95,66.96,67.65,73.5,72.4,70.47,67.3101,66.675,66.25,66.15,64.95,65.54,64.64,64.49,64.42,62.85,62.26,61.81,61.83,63.11,62.32,63.56,63.84,63.08,63.79,63.5,62.48,62.18,61.88,60.92,61.16,62.55,61.4,61.06,60.38,60.94,61.65,61.37,62.1,61.6,62.07,62.32,63.0,62.95,63.18
2. high,80.93,79.83,79.36,80.05,79.37,79.68,79.876,79.85,79.32,78.77,79.47,79.53,79.05,78.44,78.19,79.9,80.7233,80.54,79.961,79.83,78.7,77.48,75.92,75.9,75.27,75.425,75.04,75.0,76.48,79.34,79.42,80.21,79.34,78.55,77.365,77.01,76.185,75.69,75.53,74.18,74.65,74.895,71.83,71.1,71.05,72.33,70.37,68.73,67.405,67.94,66.52,66.835,67.005,66.85,68.07,67.78,67.87,68.1,73.62,73.22,72.935,71.72,67.31,67.54,67.42,66.73,66.28,66.36,65.15,65.22,64.9697,62.36,62.205,62.15,63.26,63.12,63.9666,63.9,63.845,63.87,64.065,63.39,62.75,62.92,62.01,61.5,63.24,63.18,62.04,60.945,61.15,61.85,62.025,62.29,61.995,62.17,62.59,63.02,63.565,63.54
3. low,79.51,78.48,78.67,78.84,78.551,78.65,79.14,78.98,78.68,77.55,78.39,78.85,78.12,76.88,76.53,77.2514,78.6,78.58,78.56,78.72,76.93,76.08,75.19,74.64,74.66,74.22,74.2031,73.85,74.745,76.53,78.65,78.34,77.86,76.83,76.51,75.9,75.2,74.9,74.15,73.45,73.16,72.06,70.335,69.91,69.95,70.17,68.28,66.76,66.74,66.33,65.86,65.955,66.09,66.16,66.68,66.9,66.45,65.43,71.5,72.0,70.1,67.3101,65.31,66.2,66.0,64.77,64.5,64.585,64.08,64.05,62.28,61.075,61.66,61.36,62.1,62.31,62.28,62.93,62.91,62.835,63.28,62.25,61.98,61.795,60.74,60.205,61.17,61.37,60.84,59.77,59.74,60.92,61.145,61.1,61.21,61.505,61.965,62.18,62.84,62.905
4. close,80.27,79.57,78.74,78.98,79.26,78.83,79.38,79.03,78.72,78.74,78.69,79.08,78.89,78.14,76.75,77.69,80.15,80.4,79.74,79.19,78.53,77.33,75.79,75.87,74.77,75.22,74.5,74.97,74.87,76.66,79.24,78.75,78.95,78.29,76.82,76.67,76.12,75.58,75.28,74.07,74.28,74.16,71.81,70.17,70.55,71.13,70.25,68.63,66.83,67.27,66.32,66.26,66.74,66.22,66.85,67.73,67.16,67.41,72.12,72.64,72.16,69.97,65.61,66.91,66.66,66.17,64.51,65.3,64.7,64.5,64.45,61.13,62.07,62.09,62.14,63.08,62.7,63.27,63.67,63.11,63.6,63.35,62.17,62.37,61.51,60.43,61.22,62.55,61.8,60.9,60.36,61.21,61.56,61.29,61.78,61.6,62.06,62.42,63.03,63.38
5. adjusted close,80.27,79.57,78.74,78.98,79.26,78.83,79.38,79.03,78.72,78.74,78.69,79.08,78.89,78.14,76.75,77.69,80.15,80.4,79.74,79.19,78.53,77.33,75.79,75.87,74.77,75.22,74.5,74.97,74.87,76.66,79.24,78.75,78.95,78.29,76.82,76.67,76.12,75.58,75.28,74.07,73.9604731819,73.8409893803,71.5010982659,69.8681529776,70.2465183492,70.8240233902,69.9478088453,68.3347775239,66.5425205001,66.9806277726,66.0347143433,65.9749724425,66.4529076489,65.9351445087,66.562434467,67.438649012,66.8711009544,67.1200255411,71.8097647533,72.3275278935,71.8495926872,69.6690133082,65.3277685173,66.6221763678,66.3732517812,65.8853595913,64.2325003361,65.0191020298,64.4216830219,64.2225433526,64.1727584353,60.8670399247,61.8029963705,61.8229103374,61.8726952547,62.8086517005,62.4302863288,62.9978343863,63.396113725,62.8385226509,63.3264148407,63.0774902541,61.9025662051,62.1017058744,61.2454052964,60.1700510821,60.9566527759,62.2809315768,61.5341578169,60.638029305,60.1003521979,60.9466957924,61.2951902137,61.0263516602,61.51424385,61.3350181476,61.793039387,62.1514907918,62.7588667832,63.1073612045
6. volume,12244406,10485636,6929875,12867810,12851068,7160582,7044732,8628957,8802676,8165040,6643073,6637900,9033402,11399492,12302575,12980394,17356662,14073449,14089717,8720347,15316549,15319639,7825321,7940387,6107809,9300188,9402153,10665756,16769293,18672795,12562254,19967188,13334088,13604189,12730816,13142446,10634896,13285733,13507957,12356770,14699810,25010153,13228748,9971736,12000182,15183697,12617298,14844716,11391115,12390136,10263671,30963637,13751415,11892394,14512509,8921150,11606331,38095367,21378578,17296384,23300493,34211451,19951123,15827615,13282034,11758868,20357528,15294618,10609343,18175420,20834464,10905120,6262831,6234513,7526113,6663628,7690915,9574591,5433736,7003488,9170225,9928668,9933501,10505806,10553525,11451806,11166414,14789029,8186548,8524722,9897003,6951250,7025010,8903369,7532602,10258642,8298324,7741543,6286635,7751661
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
