,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,12.92,12.54,12.61,12.06,11.91,11.55,11.72,11.94,11.83,11.96,12.06,11.94,10.23,11.975,12.44,11.89,13.83,13.79,14.03,13.72,14.67,15.38,16.13,17.1,17.95,18.2,19.08,17.64,17.43,16.73,16.79,17.0,17.12,17.12,17.11,17.36,17.19,16.84,17.0,17.38,17.11,18.32,17.98,17.04,16.63,17.9,18.3,16.54,19.0,19.44,20.51,19.75,20.57,20.77,22.63,23.98,23.42,24.14,23.96,22.74,21.8,22.5,23.07,24.82,25.15,25.46,25.05,26.03,26.04,26.77,29.91,30.61,30.43,31.39,33.9,32.56,35.31,36.04,35.0,35.08,35.59,37.0,35.21,35.09,35.79,35.02,38.71,36.98,33.52,29.63,28.56,30.35,29.93,29.58,30.22,26.03,25.78,26.5,26.23,27.24
2. high,13.22,12.975,13.1498,12.61,12.37,12.17,11.85,12.2,12.39,12.27,12.88,12.26,11.78,12.34,13.1,12.8,13.83,14.53,14.04,14.48,14.67,15.38,16.15,17.1,18.05,18.29,19.21,19.06,18.0,17.37,17.38,17.15,17.1699,17.8,17.67,17.48,17.7,17.15,17.08,17.69,17.73,18.4,18.61,18.17,16.99,18.0,18.75,18.36,19.0299,19.55,20.59,20.63,20.7099,21.25,22.69,24.04,24.07,24.915,24.37,23.95,22.14,22.85,23.35,24.93,25.52,26.42,25.7,26.54,26.73,26.77,30.79,31.6,30.5,31.86,34.0,32.9,35.4,37.6,36.05,36.9754,35.59,37.16,36.72,35.98,35.79,38.42,39.22,43.75,38.23,34.02,30.47,30.41,30.83,30.62,31.59,28.71,25.81,26.7182,27.02,27.57
3. low,12.65,12.28,12.45,11.62,11.81,11.51,11.32,11.68,11.63,11.61,11.86,11.71,10.23,9.69,12.375,11.89,12.71,13.59,12.98,13.72,13.63,14.53,15.261,15.66,17.1,17.67,18.2,17.6,17.07,16.25,16.5,16.4,16.48,17.06,17.03,16.45,16.81,16.5,16.46,16.75,17.03,16.76,17.58,16.76,16.33,16.55,17.51,15.53,18.02,18.47,19.3,19.35,19.27,20.2101,20.91,22.42,22.75,23.75,22.91,22.73,21.01,20.1,21.32,22.67,24.52,24.66,23.6,24.6,25.3101,24.1501,27.3975,29.78,29.3267,30.21,31.53,31.72,32.1,34.75,34.88,34.75,34.71,34.8524,33.8,34.45,34.07,34.4435,32.56,35.79,33.2198,29.3,28.56,28.77,29.4186,28.7998,28.99,26.0,25.115,25.88,26.14,26.6514
4. close,13.03,12.83,12.45,12.5,12.12,11.9,11.53,11.7,11.88,11.79,12.52,11.98,11.71,10.05,12.82,12.71,12.76,13.93,13.62,14.14,13.75,14.64,15.39,16.14,17.21,17.95,18.3,18.73,17.95,17.31,16.71,16.81,17.0,17.36,17.23,17.0,17.31,17.14,16.87,16.89,17.29,17.06,18.0,17.37,16.95,16.96,17.75,18.24,18.54,19.01,19.35,20.55,19.42,21.04,22.02,22.56,23.67,24.1,23.24,23.49,21.61,21.34,22.35,23.06,24.59,25.02,24.47,25.38,26.32,26.02,27.57,30.25,30.14,31.11,31.78,32.79,32.95,35.48,35.15,35.24,35.07,34.96,36.05,34.89,34.07,35.41,35.09,42.8,38.11,34.02,29.48,29.16,30.23,29.93,29.31,28.7,25.25,26.29,26.36,27.14
5. adjusted close,13.03,12.83,12.45,12.5,12.12,11.9,11.53,11.7,11.88,11.79,12.52,11.98,11.71,10.05,12.82,12.71,12.76,13.93,13.62,14.14,13.75,14.64,15.39,16.14,17.21,17.95,18.3,18.73,17.95,17.31,16.71,16.81,17.0,17.36,17.23,17.0,17.31,17.14,16.87,16.89,17.29,17.06,18.0,17.37,16.95,16.96,17.75,18.24,18.54,19.01,19.35,20.55,19.42,21.04,22.02,22.56,23.67,24.1,23.24,23.49,21.61,21.34,22.35,23.06,24.59,25.02,24.47,25.38,26.32,26.02,27.57,30.25,30.14,31.11,31.78,32.79,32.95,35.48,35.15,35.24,35.07,34.96,36.05,34.89,34.07,35.41,35.09,42.8,38.11,34.02,29.48,29.16,30.23,29.93,29.31,28.7,25.25,26.29,26.36,27.14
6. volume,5270791,3863081,2375569,2901190,2677619,2256873,2224684,2112354,3448123,3584996,3475668,4429575,8436489,15901117,5198217,3233952,3640963,2316662,4296120,1909000,4854952,6988734,5631001,5498474,2372559,1687091,2545719,5429618,3014015,1821413,1991693,2507492,4121686,2064043,3366274,2351795,2140511,2282064,2122562,1765855,2543621,3261308,4019043,4621981,3637810,6067369,7216341,13307527,5381469,5842246,4147976,5931445,7210732,6318019,7515604,3281472,1718880,1749006,2063380,2098069,2134045,2977033,2154008,3054929,3958539,3744007,3609435,2515003,1666159,3510490,2966497,2949528,1568385,1641550,1242858,1110866,1733906,1618672,964816,1779714,843392,789440,1166049,2566150,1425729,2362632,5237255,12795140,6657098,5582155,2389532,2077367,2710268,3778621,11666133,5019617,4383068,1356215,2676839,2090275
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
