,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,290.19,302.87,298.54,292.9,291.29,294.24,287.79,292.83,286.88,275.79,281.49,280.09,271.19,271.64,276.26,270.01,279.2,269.73,267.59,280.24,282.52,286.13,283.3,284.19,289.26,290.74,289.85,284.19,278.18,276.0,281.38,287.37,277.68,277.29,283.25,275.74,282.69,285.15,279.99,283.6,291.0,289.2,298.3,343.0,375.3,389.88,347.51,327.16,342.42,347.58,346.43,339.05,345.0,345.77,340.04,339.81,334.98,338.17,336.8,329.4,320.35,313.93,327.89,328.18,340.0,322.59,322.0,318.0,330.31,330.12,344.6,342.0,343.02,348.34,351.6,356.5,352.1,361.02,349.0,342.57,344.34,305.57,304.5,321.97,308.88,295.43,300.0,273.12,268.83,267.63,260.0,258.43,252.11,249.98,241.32,244.39,254.4,250.62,254.38,258.0
2. high,303.0,302.87,303.8,303.07,296.53,296.07,297.1599,298.51,294.12,286.34,285.33,283.5,287.04,280.4,280.85,283.14,287.39,287.99,268.15,280.24,282.52,291.567,288.05,289.0,289.43,292.77,294.11,289.285,283.36,283.985,281.4,290.34,288.12,281.34,285.23,284.44,282.69,288.0,289.9699,290.0699,291.0,294.32,299.995,343.0,379.575,401.805,396.0,341.99,345.11,349.95,349.95,349.2,347.42,349.21,352.62,342.39,338.65,343.0599,339.97,337.935,331.0,319.73,329.01,329.37,340.0,339.98,326.81,326.12,330.31,334.75,345.04,349.15,343.02,348.57,351.6,359.27,356.64,362.8899,362.68,353.43,353.53,314.88,307.8299,321.97,324.24,310.72,323.595,305.3614,275.94,271.99,268.41,262.17,258.44,253.81,248.88,251.0,255.5,256.0,259.02,262.21
3. low,290.0,285.1389,296.49,290.69,288.59,287.83,287.79,286.36,285.02,275.79,279.52,277.41,271.19,267.56,270.0,268.0002,275.22,269.73,261.49,268.4,274.0,282.76,282.85,280.58,284.33,287.01,287.2245,280.55,274.92,275.22,274.51,278.0,276.78,275.8,273.65,275.74,272.8868,278.28,276.08,275.26,283.14,281.07,285.0,295.0,343.12,369.0,347.265,326.33,328.89,339.92,343.16,339.05,336.37,337.14,340.04,336.37,332.77,332.43,326.78,327.94,316.73,297.71,308.38,321.04,327.09,322.59,316.78,317.8,319.22,312.61,332.61,339.5724,334.4,338.0,340.26,352.04,348.36,344.2,348.7,338.55,331.88,303.2,296.16,293.57,308.54,294.2618,291.54,271.885,266.17,263.1656,260.0,254.58,251.95,248.1439,236.11,242.0,242.4,250.41,252.5,252.5
4. close,301.84,289.92,301.52,299.38,290.51,288.65,292.01,287.24,293.5,285.6,279.52,279.56,283.66,269.36,271.64,281.93,275.69,280.39,266.36,269.99,277.73,285.7,285.33,285.73,284.44,289.42,291.19,288.87,279.8,279.82,276.3,280.64,287.37,279.33,275.41,282.63,275.18,281.78,288.0,277.9,289.06,290.78,289.15,298.3,349.0,376.78,389.88,341.56,329.48,342.98,346.39,343.39,337.74,347.95,348.05,340.77,336.29,336.23,331.1,332.2,323.24,319.08,313.21,326.91,328.58,337.46,318.92,321.3,320.48,327.74,335.77,346.0,339.08,346.08,349.11,353.95,356.56,349.54,357.07,346.64,339.0,313.94,303.66,304.64,319.55,307.99,298.57,302.49,275.72,269.73,264.95,262.16,257.76,251.19,247.29,243.13,243.76,253.23,257.45,257.0
5. adjusted close,301.84,289.92,301.52,299.38,290.51,288.65,292.01,287.24,293.5,285.6,279.52,279.56,283.66,268.980699852,271.257489263,281.532999366,275.301786242,279.995167922,265.984924312,269.609812716,277.33891361,285.297690629,284.928211645,285.327648384,284.039464902,289.012452299,290.779959868,288.463226783,279.405998733,279.42597057,275.910927269,280.244815884,286.965339013,278.936660565,275.022180525,282.232013659,274.7925044,281.383210589,287.594451876,277.508674224,288.652959234,290.37053721,288.7428325,297.879947898,348.508554531,376.249436035,389.330989228,341.079031191,329.016041681,342.497031613,345.902229811,342.90645427,337.264410336,347.460033092,347.559892276,340.290143632,335.816452158,335.756536647,330.633760473,331.732211505,322.784828557,318.630686475,312.768952334,326.449660635,328.117309019,336.984804619,318.470911779,320.847560375,320.02871506,327.278491868,335.297184398,345.51277899,338.602523411,345.592666338,348.618399634,353.451584172,355.655980958,348.653779403,356.164687909,345.761132038,338.140502425,313.144039326,302.890103146,303.867618463,318.739815782,307.209124903,297.813008287,301.723069554,275.020941973,269.046128965,264.278248135,261.495321876,257.106477596,250.553135116,246.663023141,242.513570368,243.141973071,252.587962918,256.797263568,256.348404494
6. volume,108353,86956,68636,108218,72567,70797,63286,85091,112545,92337,57129,94386,111884,117350,136561,90942,94731,124931,120230,56900,79996,63807,89183,81526,93344,53210,90147,70737,72527,58231,77289,134552,105051,64338,83606,114130,118047,99605,205300,142128,150956,214516,295240,807596,218038,174640,371185,76992,81697,96442,75383,179392,47653,75170,83738,76739,53079,122961,73738,93839,89489,77300,120924,114854,75363,112664,81686,131755,148742,150668,77605,71530,86733,69661,70970,49654,76677,108181,109050,113502,225279,132577,81796,169615,185921,159884,241102,240254,98528,109474,99597,111029,140449,135832,169086,116465,111522,86872,106252,121623
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
