,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,28.98,29.38,29.53,29.43,28.6,28.76,29.27,28.46,27.05,27.01,27.42,26.94,27.13,26.75,28.38,28.0,28.57,28.0,27.57,27.5,27.5,28.6,29.29,30.0,29.65,29.1,29.0,28.96,28.86,27.34,27.37,27.21,28.61,28.63,28.06,27.61,28.7,28.49,28.22,27.81,28.13,28.27,28.39,28.1,27.84,29.4,28.5,27.81,27.2,27.96,28.98,29.34,30.1,29.74,30.17,30.55,30.9,31.18,31.17,31.23,30.81,29.89,29.36,28.36,28.07,27.32,26.15,26.66,27.19,26.77,26.77,26.61,26.02,26.65,27.86,27.5,27.41,24.93,24.05,24.0,23.3,23.2,22.75,22.73,22.54,22.21,22.86,22.25,23.53,23.69,23.5,23.59,24.11,23.55,23.49,23.12,22.45,21.98,21.52,22.77
2. high,29.255,29.67,29.6,29.7,29.26,29.09,29.4499,29.695,28.47,27.4,27.45,27.53,27.52,27.455,28.6168,28.785,28.78,28.91,27.86,27.78,27.97,28.8,30.41,30.1,30.32,29.82,29.89,29.33,29.35,28.88,27.79,27.945,28.73,28.72,28.86,28.1,28.7,29.37,28.68,28.45,28.42,28.53,28.75,28.7,28.4371,29.63,29.39,28.66,28.29,28.0,28.98,30.02,31.0,30.43,30.1899,30.79,31.33,31.68,31.7,31.6999,31.81,31.06,30.23,29.74,28.75,28.1,27.44,26.98,27.35,27.54,27.1261,27.18,26.72,26.99,27.9,27.9599,27.97,28.22,24.3,24.14,24.18,23.3,23.22,22.99,22.77,22.31,22.9989,23.19,23.55,23.76,23.85,23.75,24.25,24.25,23.73,23.69,23.25,22.6,22.2,22.9
3. low,28.02,28.9,29.01,29.21,28.14,28.34,28.47,28.41,26.54,26.35,27.02,26.4,27.01,26.39,27.04,28.0,28.21,28.0,26.73,27.44,26.61,27.38,28.07,29.24,29.5,28.76,28.8419,28.69,28.44,27.24,27.02,27.21,27.2,27.79,27.9931,27.04,27.23,28.27,27.42,27.61,27.75,27.55,27.9,28.1,27.5,27.74,28.14,27.19,27.2,26.7,28.1,28.74,29.24,29.59,29.4,29.65,30.41,30.48,30.411,30.78,30.81,29.5,28.73,28.36,27.63,27.03,25.82,25.7575,26.79,25.56,26.39,26.44,24.9,25.94,26.48,26.72,26.93,24.51,23.655,23.75,23.27,22.69,22.6254,22.58,21.8916,21.79,21.91,20.4,22.42,23.2,22.9475,23.315,23.63,23.41,23.14,23.09,22.32,21.85,21.485,21.4
4. close,28.16,28.9,29.24,29.38,29.16,28.53,28.54,29.0,28.24,26.96,27.28,27.4,27.34,26.99,27.14,28.41,28.5,28.42,27.86,27.65,27.35,27.59,28.24,29.93,29.95,29.53,29.49,28.8,28.71,28.81,27.61,27.53,27.2,28.5,28.25,28.08,27.76,28.72,28.58,28.19,27.76,28.4,28.27,28.19,27.97,27.9,29.24,28.4,27.94,27.0,28.27,29.05,29.5,30.2,29.8,30.29,30.79,31.15,31.64,31.17,31.35,30.7,29.21,29.59,28.49,27.79,26.73,25.83,26.94,27.39,26.47,26.63,26.59,26.24,26.71,27.39,27.55,27.97,24.2,24.11,23.85,23.26,23.16,22.62,22.57,22.1,22.12,22.74,22.83,23.41,23.74,23.6,23.67,24.2,23.6,23.55,23.0,22.48,21.98,21.89
5. adjusted close,28.16,28.9,29.24,29.38,29.16,28.53,28.54,29.0,28.24,26.96,27.28,27.4,27.34,26.99,26.8121742313,28.0668338214,28.1557467057,28.0767130307,27.523477306,27.3160139092,27.0196376281,27.256738653,27.8988872621,29.5684736457,29.5882320644,29.1733052709,29.1337884334,28.4521229868,28.3632101025,28.4620021962,27.2764970717,27.1974633968,26.8714494876,28.1557467057,27.9087664714,27.7408199122,27.4246852123,28.3730893119,28.2347803807,27.8494912152,27.4246852123,28.056954612,27.9285248902,27.8494912152,27.6321486091,27.5629941435,28.8868081991,28.056954612,27.602510981,26.6738653001,27.9285248902,28.6991032211,29.1436676428,29.8352122987,29.4400439239,29.924125183,30.4180856515,30.7737371889,30.9301475431,30.4706921276,30.6466537761,30.0112367121,28.5546652887,28.9261398799,27.8508186948,27.1665233951,26.1303047986,25.2504965562,26.3355933884,26.7754975096,25.876137973,26.0325483272,25.9934457386,25.6512980888,26.1107535043,26.7754975096,26.9319078638,27.3424850436,23.6570660728,23.5690852485,23.314918423,22.7381552418,22.6403987705,22.112513825,22.0636355894,21.6041801739,21.6237314682,22.2298215907,22.3178024149,22.8847899489,23.2073863044,23.0705272445,23.1389567745,23.6570660728,23.0705272445,23.0216490088,22.4839884163,21.9756547651,21.4868724082,21.398891584
6. volume,229477,387184,73101,234259,152289,228651,272293,609748,359503,251790,111973,207505,441379,197537,614427,290633,242343,246508,1102850,256784,510147,669064,574134,328950,260205,1867943,540310,264339,327359,333401,440204,574308,1330476,508855,1301300,851586,354117,534830,307772,230096,328445,407508,272594,387047,147916,645648,438252,284503,526710,486450,514202,494769,350923,580804,461009,354994,397219,749113,2253846,217734,569244,785899,358791,562348,732609,623814,1427522,729124,513611,496730,282600,730462,783961,641463,632446,585024,1346034,2186369,516357,79947,209986,132968,206879,459269,497210,334051,321196,649563,439535,210775,238586,363117,642164,600787,291529,400115,337416,207177,256545,595298
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
