,2021-06-02,2021-06-01,2021-05-28,2021-05-27,2021-05-26,2021-05-25,2021-05-24,2021-05-21,2021-05-20,2021-05-19,2021-05-18,2021-05-17,2021-05-14,2021-05-13,2021-05-12,2021-05-11,2021-05-10,2021-05-07,2021-05-06,2021-05-05,2021-05-04,2021-05-03,2021-04-30,2021-04-29,2021-04-28,2021-04-27,2021-04-26,2021-04-23,2021-04-22,2021-04-21,2021-04-20,2021-04-19,2021-04-16,2021-04-15,2021-04-14,2021-04-13,2021-04-12,2021-04-09,2021-04-08,2021-04-07,2021-04-06,2021-04-05,2021-04-01,2021-03-31,2021-03-30,2021-03-29,2021-03-26,2021-03-25,2021-03-24,2021-03-23,2021-03-22,2021-03-19,2021-03-18,2021-03-17,2021-03-16,2021-03-15,2021-03-12,2021-03-11,2021-03-10,2021-03-09,2021-03-08,2021-03-05,2021-03-04,2021-03-03,2021-03-02,2021-03-01,2021-02-26,2021-02-25,2021-02-24,2021-02-23,2021-02-22,2021-02-19,2021-02-18,2021-02-17,2021-02-16,2021-02-12,2021-02-11,2021-02-10,2021-02-09,2021-02-08,2021-02-05,2021-02-04,2021-02-03,2021-02-02,2021-02-01,2021-01-29,2021-01-28,2021-01-27,2021-01-26,2021-01-25,2021-01-22,2021-01-21,2021-01-20,2021-01-19,2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11,2021-01-08
1. open,40.09,40.86,40.25,40.33,39.8,40.25,40.64,41.65,40.8,39.15,40.49,40.11,40.51,40.68,41.56,41.63,44.89,44.48,45.12,45.1,45.15,46.08,46.06,45.43,44.96,45.13,44.93,43.95,44.77,43.67,44.43,46.53,46.62,45.82,45.98,45.9,47.11,45.99,47.3,47.69,48.08,47.74,46.3,46.24,45.78,46.45,46.63,46.82,49.82,48.9,49.54,49.91,50.63,50.14,51.94,51.38,51.4,50.75,50.13,48.55,46.89,46.58,45.85,47.5,48.72,48.33,47.89,50.89,49.57,49.5,52.25,53.04,52.7,54.23,54.51,54.53,53.83,54.84,55.53,54.15,55.88,55.09,55.09,53.43,51.12,51.49,51.99,50.01,52.46,54.5,56.53,57.42,57.32,55.37,54.22,55.65,58.19,58.39,58.66,60.84
2. high,41.06,40.92,40.71,40.48,40.17,40.6,40.96,41.83,41.34,40.81,40.75,40.63,41.34,41.68,42.07,42.51,44.89,45.66,46.05,45.75,45.38,47.37,46.73,48.56,45.355,45.33,45.605,44.91,45.03,44.79,44.71,46.9145,46.96,46.3,46.61,46.09,47.12,47.03,47.35,47.92,48.2,48.28,47.39,46.58,46.4,47.03,47.23,47.61,50.9,50.0,49.8,50.63,51.27,51.22,52.105,52.6,52.915,52.08,50.8,50.565,49.16,47.15,47.135,48.035,49.05,49.455,48.33,51.31,52.215,50.3,53.61,53.15,53.14,54.8,55.67,54.53,55.12,55.61,56.47,55.35,55.94,56.18,55.53,55.41,52.81,51.65,52.08,52.14,52.88,54.97,56.53,57.505,58.0,57.84,54.86,56.89,58.7829,58.7,59.64,61.56
3. low,40.02,39.88,40.13,40.1,39.6585,39.57,40.05,40.32,40.01,38.95,39.64,39.42,40.32,39.55,40.1,41.405,42.57,44.33,42.56,44.86,44.07,45.735,45.69,45.25,44.72,44.405,44.81,43.69,44.09,43.25,43.36,44.58,45.63,45.2,45.32,45.12,45.95,45.74,46.09,46.89,47.46,46.63,46.11,45.4,44.8,45.3,45.74,45.24,47.27,48.9,48.61,49.31,49.67,49.8443,49.81,50.97,50.905,50.74,49.6,48.41,46.89,43.93,44.18,46.44,47.56,48.33,45.95,47.54,49.2725,46.03,51.74,52.21,51.34,52.65,54.3,53.4674,53.5501,53.06,54.8115,54.15,53.2,54.88,54.09,52.67,50.34,49.62,51.11,48.0578,50.8707,51.66,54.04,56.0,56.34,54.84,53.53,54.15,56.6,56.8,57.86,58.9701
4. close,41.04,40.01,40.59,40.23,40.07,39.64,40.13,40.5,41.3,40.8,39.68,40.45,40.71,39.8,40.33,42.02,42.72,44.79,44.51,45.29,44.92,45.78,45.76,46.83,45.11,45.11,44.89,44.43,44.09,44.55,43.97,44.7,46.76,46.13,45.44,45.87,46.15,46.81,46.18,47.02,47.49,48.21,46.99,45.79,45.86,45.92,47.0,46.58,47.34,49.62,49.1,49.84,50.05,51.1,50.47,51.9,51.61,51.71,50.19,49.79,47.43,46.66,45.78,46.46,47.6,48.93,47.26,47.58,51.46,49.8,52.63,52.34,52.65,53.01,54.81,54.42,54.5,53.25,54.91,55.22,53.94,55.16,54.35,55.25,52.45,50.23,51.71,51.77,51.16,52.3,54.48,56.53,57.2,57.1,54.02,54.87,56.68,58.4,59.22,59.61
5. adjusted close,41.04,40.01,40.59,40.23,40.07,39.64,40.13,40.5,41.3,40.8,39.68,40.45,40.71,39.8,40.33,42.02,42.72,44.79,44.51,45.29,44.92,45.78,45.76,46.83,45.11,45.11,44.89,44.43,44.09,44.55,43.97,44.7,46.76,46.13,45.44,45.87,46.15,46.81,46.18,47.02,47.49,48.21,46.99,45.79,45.86,45.92,47.0,46.58,47.34,49.62,49.1,49.84,50.05,51.1,50.47,51.9,51.61,51.71,50.19,49.79,47.43,46.66,45.78,46.46,47.6,48.93,47.26,47.58,51.46,49.8,52.63,52.34,52.65,53.01,54.81,54.42,54.5,53.25,54.91,55.22,53.94,55.16,54.35,55.25,52.45,50.23,51.71,51.77,51.16,52.3,54.48,56.53,57.2,57.1,54.02,54.87,56.68,58.4,59.22,59.61
6. volume,466866,400474,307448,339171,379198,519507,287984,426643,470162,695348,829797,371884,534777,581960,892354,626884,486364,846849,960905,493562,569274,714632,680774,1285326,366781,390170,540432,485169,438851,1007722,380867,353695,454696,258294,215730,258420,323183,314975,449357,231560,244852,389151,487407,825207,541265,377072,365802,520915,625811,476629,464163,804275,392335,470402,363251,435486,438477,564232,396653,903936,594278,648247,780168,483764,335690,576694,779483,871329,991168,1699910,670227,331165,429520,214946,287160,232620,353852,555472,491147,296508,305403,532695,400300,431373,430568,543342,573263,1010418,865156,1103282,659386,436376,603560,752616,662820,1200848,440243,596612,340612,549043
7. dividend amount,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8. split coefficient,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
