Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DNB,Dun & Bradstreet Holdings Inc. Common Stock,$21.18,0.15,0.713%,9137249016.00,United States,2020,1465753,Technology,EDP Services
DOCN,DigitalOcean Holdings Inc. Common Stock,$41.12,-0.06,-0.146%,4381889681.00,,2021,76166,Technology,Retail: Computer Software & Peripheral Equipment
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,$76.40,-2.55,-3.23%,5616437512.00,China,2010,2014338,Technology,Semiconductors
DT,Dynatrace Inc. Common Stock,$51.73,0.44,0.858%,14673429438.00,United States,2019,978405,Technology,EDP Services
DV,DoubleVerify Holdings Inc. Common Stock,$36.65,1.81,5.195%,5761449195.00,,2021,384982,Technology,Computer Software: Prepackaged Software
DXC,DXC Technology Company Common Stock ,$39.76,1.65,4.33%,10131124968.00,,,4227710,Technology,EDP Services
EB,Eventbrite Inc. Class A Common Stock,$20.33,-0.05,-0.245%,1905312617.00,United States,2018,2424118,Technology,EDP Services
ECOM,ChannelAdvisor Corporation Common Stock,$24.24,-0.12,-0.493%,720724332.00,United States,2013,136988,Technology,Computer Software: Prepackaged Software
EEX,Emerald Holding Inc. Common Stock,$5.46,-0.30,-5.208%,393662800.00,United States,2017,96234,Technology,Advertising
EFX,Equifax Inc. Common Stock,$231.55,-1.55,-0.665%,28180219895.00,United States,,591310,Technology,Advertising
EGHT,8x8 Inc Common Stock,$23.16,-0.07,-0.301%,2545097029.00,United States,,1343251,Technology,EDP Services
ENV,Envestnet Inc Common Stock,$72.04,-0.02,-0.028%,3920605689.00,United States,2010,294679,Technology,EDP Services
EPAM,EPAM Systems Inc. Common Stock,$481.16,2.57,0.537%,27139717209.00,United States,2012,327778,Technology,EDP Services
ESTC,Elastic N.V. Ordinary Shares,$118.02,-0.39,-0.329%,10594041224.00,United States,2018,1868764,Technology,Computer Software: Prepackaged Software
ETWO,E2open Parent Holdings Inc.Class A Common Stock,$13.04,-0.06,-0.458%,2439146892.00,,2020,1492321,Technology,Computer Software: Prepackaged Software
EVTC,Evertec Inc. Common Stock,$43.96,0.39,0.895%,3172301174.00,Puerto Rico,2013,259497,Technology,EDP Services
